,Paradiso,Parafrasi
881," Bene è che sanza termine si doglia chi, per amor di cosa che non duri etternalmente, quello amor si spoglia","È giusto che soffra in eterno colui che, per amore di beni effimeri, si priva in eterno dell'amore di Dio"
882," Quale per li seren tranquilli e puri discorre ad ora ad or sùbito foco, ","Come nei cieli tranquilli e puri all'improvviso passa una stella cadente, "
883," movendo li occhi che stavan sicuri, e pare stella che tramuti loco, ","attirando lo sguardo che prima era tranquillo, e sembra una stella che si sposti, "
884," se non che da la parte ond’ e’ s’accende nulla sen perde, ed esso dura poco",salvo che nel punto in cui essa si accende non sparisce nessun astro e il fenomeno è di breve durata
885, tale dal corno che ’n destro si stende a piè di quella croce corse un astro de la costellazion che lì resplende,"così, dal braccio destro della croce fino alla parte inferiore, si mosse una delle luci che costellavano quella figura"
886," né si partì la gemma dal suo nastro, ma per la lista radïal trascorse, che parve foco dietro ad alabastro","e la gemma non si separò dal suo nastro, ma percorse il braccio della croce simile a un fuoco dietro una parete di alabastro"
887," Sì pïa l’ombra d’Anchise si porse, se fede merta nostra maggior musa, quando in Eliso del figlio s’accorse","Così devota l'anima di Anchise si mostrò quando vide il figlio Enea nei Campi Elisi, se dobbiamo credere alla nostra maggiore Musa "
888," «O sanguis meus, o superinfusa gratïa Deï, sicut tibi cui bis unquam celi ianüa reclusa?»","«O mio discendente, o abbondante grazia divina, a chi come a te fu aperta due volte la porta del Cielo?»"
889, Così quel lume,Così disse quella luce
890, ond’ io m’attesi a lui, allora mi rivolsi a lui
891," poscia rivolsi a la mia donna il viso, e quinci e quindi stupefatto fui"," poi rivolsi lo sguardo alla mia donna , e fui stupefatto dell'una e dell'altra visione"
892," ché dentro a li occhi suoi ardeva un riso tal, ch’io pensai co’ miei toccar lo fondo de la mia gloria e del mio paradiso","infatti dentro agli occhi di Beatrice ardeva un sorriso tale, che pensai di toccare coi miei occhi il fondo della mia gioia e della mia beatitudine"
893," Indi, a udire e a veder giocondo, giunse lo spirto al suo principio cose, ch’io non lo ’ntesi, sì parlò profondo","Poi, piacevole a vedersi e a udirsi, lo spirito aggiunse a quanto aveva detto altre cose, tanto profonde che non riuscii a capirle"
894," né per elezïon mi si nascose, ma per necessità, ché ’l suo concetto al segno d’i mortal si soprapuose","e non ne celò il senso per sua scelta, ma lo fece necessariamente in quanto il concetto espresso andava ben oltre al limite dell'intelletto umano"
895," E quando l’arco de l’ardente affetto fu sì sfogato, che ’l parlar discese inver’ lo segno del nostro intelletto, ","E quando l'arco del suo ardore di carità si fu sfogato fino a scendere al limite della nostra ragione, "
896," la prima cosa che per me s’intese, ",la prima cosa che compresi fu quando disse
897," «Benedetto sia tu», fu, «trino e uno, che nel mio seme se’ tanto cortese»"," «Benedetto sia tu, o Dio uno e trino, che sei tanto cortese verso il mio discendente»"
898, E seguì,Poi continuò
899," «Grato e lontano digiuno, tratto leggendo del magno volume du’ non si muta mai bianco né bruno, solvuto hai, figlio, dentro a questo lume in ch’io ti parlo, "," «Tu, o figlio, hai finalmente esaudito in questa luce in cui io ti parlo il gradito e lontano desiderio che avevo tratto leggendo dal gran volume  dove ogni cosa è immutabile, "
900, mercè di colei ch’a l’alto volo ti vestì le piume, grazie a colei che ti ha dato le ali per questo alto volo 
901," Tu credi che a me tuo pensier mei da quel ch’è primo, così come raia da l’un, se si conosce, il cinque e ’l sei","Tu credi che il tuo pensiero venga a me da quello divino, così come dall'uno, se lo si conosce, derivano il cinque e il sei"
902," e però ch’io mi sia e perch’ io paia più gaudïoso a te, non mi domandi, che alcun altro in questa turba gaia","e dunque non mi chiedi chi sono e perché sembri più felice per la tua presenza, rispetto a chiunque altro in questa beata schiera"
903, Tu credi ’l vero,Tu pensi il vero
904," ché i minori e ’ grandi di questa vita miran ne lo speglio in che, prima che pensi, il pensier pandi"," infatti le anime più e meno beate del Paradiso osservano nello specchio  nella quale, prima ancora che tu pensi, si riflette il tuo pensiero"
905," ma perché ’l sacro amore in che io veglio con perpetüa vista e che m’asseta di dolce disïar, s’adempia meglio, ","tuttavia, affinché l'ardore di carità che io provo sempre grazie alla continua contemplazione di Dio e che mi accende di dolce desiderio si adempia perfettamente, "
906," la voce tua sicura, balda e lieta suoni la volontà, suoni ’l disio, a che la mia risposta è già decreta»","la tua voce sicura, senza incertezze e lieta esprima la tua volontà, faccia risuonare il desiderio al quale la mia risposta è stata già decretata»"
907," Io mi volsi a Beatrice, e quella udio pria ch’io parlassi, ","Io mi rivolsi a Beatrice e lei capì prima che parlassi, "
908, e arrisemi un cenno che fece crescer l’ali al voler mio,e mi sorrise con un cenno che fece crescere le ali al mio desiderio
909, Poi cominciai così,Poi cominciai a dire
910," «L’affetto e ’l senno, come la prima equalità v’apparse, d’un peso per ciascun di voi si fenno, "," «Il sentimento e l'intelletto, non appena Dio vi apparse, si fecero per voi dello stesso peso, "
911," però che ’l sol che v’allumò e arse, col caldo e con la luce è sì iguali, che tutte simiglianze sono scarse"," poiché il sole che vi illuminò e scaldò è uguale nel suo sapere e nel suo amore, al punto che ogni altra uguaglianza è imperfetta"
912," Ma voglia e argomento ne’ mortali, per la cagion ch’a voi è manifesta, diversamente son pennuti in ali","Ma sentimento e intelletto nei mortali hanno mezzi ben diversi, per la ragione che vi è nota "
913," ond’ io, che son mortal, mi sento in questa disagguaglianza, e però non ringrazio se non col core a la paterna festa","perciò io, che sono mortale, mi sento in questa insufficienza, dunque ringrazio solo col cuore per la festosa accoglienza"
914," Ben supplico io a te, vivo topazio che questa gioia prezïosa ingemmi, perché mi facci del tuo nome sazio»","Ora ti supplico, splendente topazio che sei incastonato questo prezioso gioiello , di rivelarmi il tuo nome»"
915," «O fronda mia in che io compiacemmi pur aspettando, io fui la tua radice»","«O mio discendente, in cui mi sono compiaciuto anche solo aspettando, io fui il capostipite della tua famiglia»"
916," cotal principio, rispondendo, femmi",Egli iniziò così a rispondermi
917, Poscia mi disse,Poi proseguì
918," «Quel da cui si dice tua cognazione e che cent’ anni e piùe girato ha ’l monte in la prima cornice, mio figlio fu e tuo bisavol fue"," «Colui dal quale deriva il tuo cognome  e che gira da più di cent'anni nella I Cornice del Purgatorio, fu mio figlio e il tuo bisnonno"
919, ben si convien che la lunga fatica tu li raccorci con l’opere tue, è opportuno che tu abbrevi la sua lunga fatica con le tue preghiere
920," Fiorenza dentro da la cerchia antica, ond’ ella toglie ancora e terza e nona, si stava in pace, sobria e pudica"," Firenze era ancora racchiusa nell'antica cinta muraria, da dove sente ancora le ore canoniche  e se ne stava in pace, sobria e morigerata"
921," Non avea catenella, non corona, non gonne contigiate, non cintura che fosse a veder più che la persona","Le donne ancora non esibivano catenelle, corone, gonne ricamate, cinture che fossero più appariscenti delle persone"
922," Non faceva, nascendo, ancor paura la figlia al padre, che ’l tempo e la dote non fuggien quinci e quindi la misura","La figlia, nascendo, non faceva ancora paura al padre, poiché l'età delle nozze e l'entità della dote non erano ancora sproporzionate "
923, Non avea case di famiglia vòte,Non c'erano palazzi disabitati e vuoti
924, non v’era giunto ancor Sardanapalo a mostrar ciò che ’n camera si puote, Sardanapalo non aveva ancora mostrato cosa si può fare in camera da letto 
925," Non era vinto ancora Montemalo dal vostro Uccellatoio, che, com’ è vinto nel montar sù, così sarà nel calo","Monte Mario a Roma non era ancora superato dal vostro monte Uccellatoio, il quale sarà superato sia nel crescere sia nella rapida decadenza "
926," Bellincion Berti vid’ io andar cinto di cuoio e d’osso, e venir da lo specchio la donna sua sanza ’l viso dipinto","Io vidi Bellincione Berti indossare una cintura di cuoio e d'osso, e sua moglie allontanarsi dallo specchio senza il viso imbellettato"
927," e vidi quel d’i Nerli e quel del Vecchio esser contenti a la pelle scoperta, e le sue donne al fuso e al pennecchio","e vidi i membri della famiglia Nerli e dei Vecchietti accontentarsi di vesti in pelle, e le loro donne lavorare al telaio"
928, Oh fortunate,Oh donne fortunate
929," ciascuna era certa de la sua sepultura, e ancor nulla era per Francia nel letto diserta"," ciascuna era certa di morire in patria, e nessuna di loro era abbandonata dal marito che andava a commerciare in Francia"
930," L’una vegghiava a studio de la culla, e, consolando, usava l’idïoma che prima i padri e le madri trastulla","L'una vegliava con amore il figlio nella culla e, consolandolo, usava il linguaggio infantile che diverte soprattutto i padri e le madri"
931," l’altra, traendo a la rocca la chioma, favoleggiava con la sua famiglia d’i Troiani, di Fiesole e di Roma","l'altra, lavorando al telaio, raccontava alla servitù le antiche leggende dei Troiani, di Fiesole, di Roma"
932," Saria tenuta allor tal maraviglia una Cianghella, un Lapo Salterello, qual or saria Cincinnato e Corniglia","Allora una Cianghella, un Lapo salterello avrebbe suscitato meraviglia, proprio come ora farebbero Cincinnato e Cornelia"
933," A così riposato, a così bello viver di cittadini, a così fida cittadinanza, ","In una convivenza così pacifica e bella, in una comunità così unita di cittadini, "
934," a così dolce ostello, Maria mi diè, chiamata in alte grida","in una così bella dimora mi fece nascere Maria, invocandola nelle grida del parto"
935, e ne l’antico vostro Batisteo insieme fui cristiano e Cacciaguida,e nel vostro antico Battistero di San Giovanni fui battezzato col nome di Cacciaguida
936, Moronto fu mio frate ed Eliseo,Miei fratelli furono Moronto ed Eliseo
937," mia donna venne a me di val di Pado, e quindi il sopranome tuo si feo"," mia moglie venne dalla Valpadana, e da lei ebbe origine il tuo cognome, Alighieri"
938, Poi seguitai lo ’mperador Currado,Poi seguii l'imperatore Corrado
939," ed el mi cinse de la sua milizia, tanto per bene ovrar li venni in grado"," ed egli mi fece cavaliere, a tal punto gli piacqui con il mio retto operare"
940," Dietro li andai incontro a la nequizia di quella legge il cui popolo usurpa, per colpa d’i pastor, vostra giustizia","Lo seguii in Terrasanta, contro la malvagità di quella religione  il cui popolo usurpa quei luoghi, a causa della trascuratezza dei pontefici"
941," Quivi fu’ io da quella gente turpa disviluppato dal mondo fallace, lo cui amor molt’ anime deturpa","Lì quella gente maledetta mi strappò dal mondo fallace , il cui amore svia molte anime"
942, e venni dal martiro a questa pace», e venni da quel martirio direttamente a questa pace»
944," O poca nostra nobiltà di sangue, se glorïar di te la gente fai qua giù dove l’affetto nostro langue, mirabil cosa non mi sarà mai","O nobiltà di sangue, che sei poca cosa, se induci la gente a vantarsi sulla Terra dove il nostro affetto è più debole, non me ne potrò mai stupire"
945," ché là dove appetito non si torce, dico nel cielo, io me ne gloriai","infatti là dove il nostro appetito non si volge ai beni terreni, intendo dire in Paradiso, io me ne vantai"
946, Ben se’ tu manto che tosto raccorce,Certo tu sei un mantello che si accorcia in fretta
947," sì che, se non s’appon di dì in die, lo tempo va dintorno con le force"," cosicché, se non se ne aggiunge un po' ogni giorno, il tempo lo sforbicia continuamente"
948," Dal ‘voi’ che prima a Roma s’offerie, in che la sua famiglia men persevra, ricominciaron le parole mie","Le mie parole ripresero dando a Cacciaguida del 'voi', che fu offerto per la prima volta a Roma e il cui popolo ora non segue quest'uso"
949," onde Beatrice, ch’era un poco scevra, ridendo, parve quella che tossio al primo fallo scritto di Ginevra","allora Beatrice, che stava un po' in disparte, ridendo, sembrò colei che tossì al primo compromettente incontro di Ginevra con Lancillotto, di cui è scritto nei romanzi francesi"
950, Io cominciai,Io cominciai
951, «Voi siete il padre mio, «Voi siete mio padre
952, voi mi date a parlar tutta baldezza, voi mi incoraggiate a parlare con sicurezza
953," voi mi levate sì, ch’i’ son più ch’io", voi mi sollevate a tal punto che io sono superiore a me stesso
954," Per tanti rivi s’empie d’allegrezza la mente mia, che di sé fa letizia perché può sostener che non si spezza","La mia mente si riempie di gioia per così tanti motivi diversi che si rallegra, poiché è in grado di sostenerla"
955," Ditemi dunque, cara mia primizia, quai fuor li vostri antichi e quai fuor li anni che si segnaro in vostra püerizia","Dunque ditemi, caro mio antenato, chi furono i vostri avi e quali furono gli anni che si annoverarono nella vostra fanciullezza"
956," ditemi de l’ovil di San Giovanni quanto era allora, e chi eran le genti tra esso degne di più alti scanni»",ditemi quanti erano allora gli abitanti dell'ovile di San Giovanni  e quali erano le famiglie più ragguardevoli all'epoca»
957," Come s’avviva a lo spirar d’i venti carbone in fiamma, così vid’ io quella luce risplendere a’ miei blandimenti","Come il carbone tra le fiamme diventa più incandescente, se soffia il vento, così io vidi quella luce che risplendeva allettata dalle mie parole"
958," e come a li occhi miei si fé più bella, così con voce più dolce e soave, ma non con questa moderna favella, dissemi","e non appena ai miei occhi diventò più bella, con voce pure più dolce e gradevole, benché non parlasse questo linguaggio moderno, mi disse"
959," «Da quel dì che fu detto ‘Ave’ al parto in che mia madre, ch’è or santa, s’allevïò di me ond’ era grave, ","«Dal giorno in cui l'arcangelo Gabriele disse 'Ave' a Maria, fino a quello in cui mia madre, che ora è santa, mi partorì, "
960, al suo Leon cinquecento cinquanta e trenta fiate venne questo foco a rinfiammarsi sotto la sua pianta,"questo pianeta  si è ricongiunto alla costellazione del Leone 580 volte, riscaldandosi sotto la sua zampa"
961, Li antichi miei e io nacqui nel loco dove si truova pria l’ultimo sesto da quei che corre il vostro annüal gioco,Io e i miei antenati nascemmo nel luogo  dove oggi chi corre il palio annuale incontra per primo l'ultimo sestiere
962, Basti d’i miei maggiori udirne questo,"Dei miei avi basta sentire questo, "
963," chi ei si fosser e onde venner quivi, più è tacer che ragionare onesto",poiché è più opportuno tacere che non narrare chi essi fossero e da dove venissero
964," Tutti color ch’a quel tempo eran ivi da poter arme tra Marte e ’l Batista, eran il quinto di quei ch’or son vivi","Tutti coloro che a quel tempo erano atti a portare armi, tra Marte ed il Battista, erano un quinto di quelli che ora sono in città"
965," Ma la cittadinanza, ch’è or mista di Campi, di Certaldo e di Fegghine, pura vediesi ne l’ultimo artista","Ma la popolazione, che oggi è mescolata con gli abitanti di Campi Bisenzio, Certaldo, Figline Valdarno, era allora pura fino all'ultimo degli artigiani"
966," Oh quanto fora meglio esser vicine quelle genti ch’io dico, e al Galluzzo e a Trespiano aver vostro confine, ","Oh, quanto sarebbe preferibile che quelle genti che dico fossero ancora vicine, e che Firenze avesse ancora il suo confine presso Galluzzo e Trespiano, "
967," che averle dentro e sostener lo puzzo del villan d’Aguglion, di quel da Signa, che già per barattare ha l’occhio aguzzo",invece di ospitare queste persone e sostenere il puzzo del villano d'Aguglione  e di quello da Signa  che ha già l'occhio pronto a compiere baratto
968," Se la gente ch’al mondo più traligna non fosse stata a Cesare noverca, ma come madre a suo figlio benigna, tal fatto è fiorentino e cambia e merca, che si sarebbe vòlto a Simifonti, là dove andava l’avolo a la cerca","Se la gente che al mondo più devia dalle regole  non fosse stata matrigna verso l'imperatore, ma fosse stata un'amorevole madre verso il figlio, certi nuovi fiorentini intenti a cambiare valute e a mercanteggiare sarebbero rimasti a Semifonte, dove i loro avi andavano a chiedere l'elemosina "
969, sariesi Montemurlo ancor de’ Conti,Montemurlo sarebbe ancora dei Conti
970," sarieno i Cerchi nel piovier d’Acone, e forse in Valdigrieve i Buondelmonti"," i Cerchi sarebbero ancora nel piviere di Acone, e forse i Buondelmonti sarebbero rimasti in Val di Greve"
971," Sempre la confusion de le persone principio fu del mal de la cittade, come del vostro il cibo che s’appone","La mescolanza delle genti ha sempre causato il male delle città, come l'aggiunta di cibo ad altro non digerito è fonte di malanni"
972, e cieco toro più avaccio cade che cieco agnello,e un toro cieco cade più presto di un cieco agnello
973, e molte volte taglia più e meglio una che le cinque spade, e spesso una sola spada taglia più e meglio di cinque spade assieme
974," Se tu riguardi Luni e Orbisaglia come sono ite, ","Se consideri come sono cadute in rovina Luni e Orbisaglia, "
975," e come se ne vanno di retro ad esse Chiusi e Sinigaglia,","e come se ne vanno dietro ad esse Chiusi e Senigallia, "
976,"udir come le schiatte si disfanno non ti parrà nova cosa né forte, poscia che le cittadi termine hanno","non ti sembrerà cosa inaudita o difficile da credere il sentire come le casate vanno in decadenza, dato che anche le città hanno fine"
977," Le vostre cose tutte hanno lor morte, sì come voi","Le cose terrene sono tutte mortali, proprio come voi"
978," ma celasi in alcuna che dura molto, e le vite son corte"," me ciò è meno visibile in alcune cose che durano molto, mentre la vita umana è assai più breve"
979," E come ’l volger del ciel de la luna cuopre e discuopre i liti sanza posa, così fa di Fiorenza la Fortuna","E come la Luna con le sue fasi copre e scopre senza sosta i lidi , così la Fortuna fa con le sorti di Firenze"
980, per che non dee parer mirabil cosa ciò ch’io dirò de li alti Fiorentini onde è la fama nel tempo nascosa,"dunque non deve sembrare cosa strana ciò che adesso dirò delle grandi famiglie fiorentine, la cui fama è stata cancellata dal tempo"
981," Io vidi li Ughi e vidi i Catellini, Filippi, Greci, Ormanni e Alberichi, già nel calare, illustri cittadini","Io vidi gli Ughi e i Catellini, i Filippi, i Greci, gli Ormanni e gli Alberighi che erano illustri cittadini, già allora quando declinavano"
982," e vidi così grandi come antichi, con quel de la Sannella, quel de l’Arca, e Soldanieri e Ardinghi e Bostichi","e vidi famiglie anticamente potenti, i Sannella, i dell'Arca, i Soldanieri, gli Ardinghi e i Bostichi"
983," Sovra la porta ch’al presente è carca di nova fellonia di tanto peso che tosto fia iattura de la barca, ","Presso la porta che oggi è carica della nuova fellonia , tanto pesante che presto sarà la sciagura di tutta la barca, "
984," erano i Ravignani, ond’ è disceso il conte Guido e qualunque del nome de l’alto Bellincione ha poscia preso","abitavano i Ravignani, da cui è disceso il conte Guido e chiunque ha poi preso il nome da Bellincione"
985," Quel de la Pressa sapeva già come regger si vuole, e avea Galigaio dorata in casa sua già l’elsa e ’l pome","La famiglia della Pressa sapeva già come si deve governare, e i Galigai avevano già in casa l'elsa e l'impugnatura della spada dorata "
986," Grand’ era già la colonna del Vaio, Sacchetti, Giuochi, Fifanti e Barucci e Galli e quei ch’arrossan per lo staio","Lo stemma del Vaio era già famosa, così come i Sacchetti, i Giuochi, i Fifanti, i Barucci, i Galli e quelli che arrossiscono per la frode dello staio "
987," Lo ceppo di che nacquero i Calfucci era già grande, e già eran tratti a le curule Sizii e Arrigucci","Il ceppo da cui nacquero i Calfucci  era già grande, ed erano già condotti alle cariche politiche i Sizi e gli Arrigucci"
988, Oh quali io vidi quei che son disfatti per lor superbia,"Oh, come erano potenti allora quelli  che poi furono distrutti dalla loro superbia"
989, e le palle de l’oro fiorian Fiorenza in tutt’ i suoi gran fatti, e lo stemma delle palle d'oro  rendeva illustre Firenze in tutte le illustri imprese
990," Così facieno i padri di coloro che, sempre che la vostra chiesa vaca, si fanno grassi stando a consistoro",Così facevano gli avi di coloro che ora approfittano per arricchirsi del fatto che la sede vescovile è vacante 
991," L’oltracotata schiatta che s’indraca dietro a chi fugge, e a chi mostra ’l dente o ver la borsa, com’ agnel si placa, ","La tracotante famiglia  che incrudelisce dietro a chi fugge, mentre si placa come un agnello davanti a chi mostra i denti o la borsa, "
992," già venìa sù, ma di picciola gente",era già potente ma aveva umili origini
993, sì che non piacque ad Ubertin Donato che poï il suocero il fé lor parente, infatti a Ubertino Donati non piacque che il suocero  lo avesse imparentato con loro
994," Già era ’l Caponsacco nel mercato disceso giù da Fiesole, e già era buon cittadino Giuda e Infangato","I Caponsacchi erano già scesi da Fiesole e abitavano a Mercato Vecchio, ed erano già diventati cittadini i Giudi e gli Infangati"
995, Io dirò cosa incredibile e vera,Io dirò una cosa incredibile anche se vera
996, nel picciol cerchio s’entrava per porta che si nomava da quei de la Pera, nella antica cerchia muraria si entrava attraverso la porta che prendeva il nome dai Della Pera 
997," Ciascun che de la bella insegna porta del gran barone il cui nome e ’l cui pregio la festa di Tommaso riconforta, ","Tutti quelli che si fregiavano della bella insegna del gran barone, il cui nome e il cui onore è celebrato il giorno di San Tommaso, "
998, da esso ebbe milizia e privilegio,"ebbero da lui la carica e il privilegio di cavaliere, "
999, avvegna che con popol si rauni oggi colui che la fascia col fregio,anche se oggi uno che la adorna col fregio d'oro parteggia per il popolo
1000, Già eran Gualterotti e Importuni,Erano già presenti i Gualterotti e gli Importuni
1001," e ancor saria Borgo più quïeto, se di novi vicin fosser digiuni"," e Borgo Santi Apostoli sarebbe più tranquillo, se non avesse acquistato nuovi vicini"
1002," La casa di che nacque il vostro fleto, per lo giusto disdegno che v’ha morti e puose fine al vostro viver lieto, ","La casata  da cui nacquero le vostre disgrazie, per il giusto disdegno che vi ha mandati in rovina e pose fine al vostro vivere lieto, "
1003," era onorata, essa e suoi consorti",era onorata insieme ai suoi consorti
1004," o Buondelmonte, quanto mal fuggisti le nozze süe per li altrui conforti"," o Buondelmonte, quanto male facesti a fuggire le nozze, seguendo i consigli altrui"
1005," Molti sarebber lieti, che son tristi, se Dio t’avesse conceduto ad Ema la prima volta ch’a città venisti","Se Dio ti avesse annegato nell'Ema, la prima volta che venisti in città, molti che oggi sono tristi sarebbero lieti"
1006," Ma conveniesi a quella pietra scema che guarda ’l ponte, che Fiorenza fesse vittima ne la sua pace postrema","Invece fu destino che Firenze facesse di te una vittima, nel suo ultimo periodo di pace, presso quel frammento di statua accanto al ponte"
1007," Con queste genti, e con altre con esse, vid’ io Fiorenza in sì fatto riposo, che non avea cagione onde piangesse","Io vidi Firenze con queste e altre famiglie in una tale pace, che non c'erano ragioni di pianto o di lutto"
1008," Con queste genti vid’io glorïoso e giusto il popol suo, ",con queste famiglie vidi il popolo fiorentino così glorioso e giusto 
1009," tanto che ’l giglio non era ad asta mai posto a ritroso, né per divisïon fatto vermiglio»","tanto che il giglio non era mai trascinato nella polvere con l'asta rovesciata, né per divisioni interne era ancora diventato rosso»"
1011," Qual venne a Climenè, per accertarsi di ciò ch’avëa incontro a sé udito, quei ch’ancor fa li padri ai figli scarsi","Come colui che ancora oggi induce i padri a non essere condiscendenti, andò da Climene per avere rassicurazioni su quanto aveva sentito contro di sé, "
1012," tal era io, e tal era sentito e da Beatrice e da la santa lampa che pria per me avea mutato sito","così ero io, e così ero percepito sia da Beatrice sia dalla santa luce che prima aveva cambiato posizione per me"
1013," Per che mia donna «Manda fuor la vampa del tuo disio», mi disse, ","Perciò la mia donna «Manifesta il tuo desiderio», mi disse, "
1014, «sì ch’ella esca segnata bene de la interna stampa,così che esso sia espresso secondo i tuoi pensieri
1015," non perché nostra conoscenza cresca per tuo parlare, ma perché t’ausi a dir la sete, sì che l’uom ti mesca»","non perché noi abbiamo bisogno delle tue parole per conoscerlo, ma affinché tu ti abitui a manifestare i tuoi desideri, in modo che essi siano esauditi»"
1016," «O cara piota mia che sì t’insusi, che, come veggion le terrene menti non capere in trïangol due ottusi, ","«O caro mio capostipite, che ti innalzi a tal punto che, come le menti terrene vedono che in un triangolo non possono esserci due angoli ottusi, "
1017," così vedi le cose contingenti anzi che sieno in sé, mirando il punto a cui tutti li tempi son presenti","così vedi le cose contingenti prima che avvengano, osservando il punto  in cui è un eterno presente"
1018," mentre ch’io era a Virgilio congiunto su per lo monte che l’anime cura e discendendo nel mondo defunto, ","mentre io ero guidato da Virgilio, salendo lungo il monte che purifica le anime  e scendendo nel mondo dei morti , "
1019," dette mi fuor di mia vita futura parole gravi, avvegna ch’io mi senta ben tetragono ai colpi di ventura","mi furono dette parole gravi sulla mia vita futura , anche se io mi sento ben preparato a reggere i colpi della sventura"
1020, per che la voglia mia saria contenta d’intender qual fortuna mi s’appressa,dunque desidero sapere quale destino mi attende
1021, ché saetta previsa vien più lenta»," infatti, una freccia prevista arriva più lentamente»"
1022, Così diss’ io a quella luce stessa che pria m’avea parlato,Così io dissi a quella stessa luce che prima mi aveva parlato
1023," e come volle Beatrice, fu la mia voglia confessa"," e il mio desiderio fu espresso, proprio come volle Beatrice"
1024," Né per ambage, in che la gente folle già s’inviscava pria che fosse anciso l’Agnel di Dio che le peccata tolle, ","non con parole tortuose, in cui i pagani si invischiavano ben prima che fosse crocifisso l'Agnello di Dio che toglie i peccati del mondo , "
1025," ma per chiare parole e con preciso latin rispuose quello amor paterno, chiuso e parvente del suo proprio riso","ma con parole chiare e con un discorso limpido quel padre amorevole mi rispose , avvolto e splendente nella luce del suo sorriso"
1026," «La contingenza, che fuor del quaderno de la vostra matera non si stende, tutta è dipinta nel cospetto etterno","«Gli eventi contingenti, che non si estendono al di fuori del vostro mondo terreno, sono tutti dipinti nella mente di Dio"
1027, necessità però quindi non prende se non come dal viso in che si specchia nave che per torrente giù discende,"essi però non sono per questo necessari, come non lo è il fatto che una barca scenda la corrente solo perché qualcuno la osserva"
1028," Da indi, sì come viene ad orecchia dolce armonia da organo, mi viene a vista il tempo che ti s’apparecchia","Da lì  viene a me il tempo che si prepara per te, come la dolce armonia di un organo viene all'orecchio"
1029," Qual si partio Ipolito d’Atene per la spietata e perfida noverca, tal di Fiorenza partir ti convene","TI sarà inevitabile lasciare Firenze, come Ippolito lasciò Atene a causa della spietata e perfida matrigna "
1030," Questo si vuole e questo già si cerca, e tosto verrà fatto a chi ciò pensa là dove Cristo tutto dì si merca","Si vuole questo e si cerca di attuarlo, e verrà presto compiuto, da chi  pensa a ciò là  dove si mercifica Cristo  ogni giorno"
1031," La colpa seguirà la parte offensa in grido, come suol","La colpa verrà addossata alla parte sconfitta attraverso la fama, come al solito"
1032, ma la vendetta fia testimonio al ver che la dispensa, ma la punizione renderà evidente a tutti la verità
1033, Tu lascerai ogne cosa diletta più caramente,Tu lascerai ogni cosa che ami di più
1034, e questo è quello strale che l’arco de lo essilio pria saetta, e questa è la pena che l'esilio fa provare per prima
1035," Tu proverai sì come sa di sale lo pane altrui, e come è duro calle lo scendere e ’l salir per l’altrui scale","Tu proverai come è amaro il pane altrui, e come è duro salire e scendere le scale altrui "
1036," E quel che più ti graverà le spalle, sarà la compagnia malvagia e scempia con la qual tu cadrai in questa valle",E ciò che ti sarà più fastidioso sarà la compagnia malvagia e folle con cui dovrai condividere l'esilio 
1037," che tutta ingrata, tutta matta ed empia si farà contr’ a te","infatti essa diventerà tutta ingrata, stupida e ingiusta contro di te"
1038," ma, poco appresso, ella, non tu, n’avrà rossa la tempia"," ma, poco dopo, saranno loro e non tu ad avere le tempie rosse "
1039, Di sua bestialitate il suo processo farà la prova,Quello che accadrà loro dimostrerà la loro follia
1040, sì ch’a te fia bello averti fatta parte per te stesso,"cosicché sarà stato un bene, per te, essertene separato"
1041, Lo primo tuo refugio e ’l primo ostello sarà la cortesia del gran Lombardo che ’n su la scala porta il santo uccello,Il tuo primo rifugio e la tua prima dimora sarà la cortesia del gran Lombardo  che sulla scala del suo stemma porta l'uccello sacro 
1042," ch’in te avrà sì benigno riguardo, che del fare e del chieder, tra voi due, fia primo quel che tra li altri è più tardo","egli avrà così benevolo riguardo nei tuoi confronti, che tra voi due i favori precederanno le richieste, contrariamente a quanto accade"
1043," Con lui vedrai colui che ’mpresso fue, nascendo, sì da questa stella forte, che notabili fier l’opere sue","Insieme a lui conoscerai quello  che, alla nascita, fu influenzato a tal punto da questo pianeta  che le sue imprese saranno straordinarie"
1044," Non se ne son le genti ancora accorte per la novella età, ché pur nove anni son queste rote intorno di lui torte","Le persone non se ne sono ancora accorte per la sua giovane età, perché questi Cieli hanno ruotato intorno a lui solo nove anni"
1045," ma pria che ’l Guasco l’alto Arrigo inganni, parran faville de la sua virtute in non curar d’argento né d’affanni","ma prima che il Guasco  inganni l'alto Arrigo VII di Lussemburgo, egli mostrerà scintille del suo valore nella noncuranza di denaro e affanni"
1046," Le sue magnificenze conosciute saranno ancora, sì che ’ suoi nemici non ne potran tener le lingue mute","Le sue gesta saranno conosciute da tutti, al punto che i suoi nemici non potranno negarle"
1047, A lui t’aspetta e a’ suoi benefici,Affidati a lui e ai suoi benefici
1048," per lui fia trasmutata molta gente, cambiando condizion ricchi e mendici"," grazie a lui molta gente cambierà condizione, sia mendicanti sia ricchi"
1049," e portera’ne scritto ne la mente di lui, e nol dirai»","e porterai scritto nella memoria queste cose sul suo conto, che non dovrai riferire»"
1050, e disse cose incredibili a quei che fier presente, e disse cose che saranno incredibili anche a chi le vedrà di persona
1051, Poi giunse,Poi aggiunse
