,Paradiso,Parafrasi
2330,"latin rispuose quello amor paterno,","e un linguaggio  ben distinto mi rispose quel padre amoroso, "
2331,chiuso e parvente del suo proprio riso:,avvolto e visibile  nella propria letizia:
2332,"«La contingenza, che fuor del quaderno","«Tutte le cose contingenti, che non si estendono"
2333,"de la vostra matera non si stende,","al di fuori dell’ambito  del mondo umano , "
2334,tutta è dipinta nel cospetto etterno;,sono presenti nella mente divina ; 
2335,necessità però quindi non prende,"ma non per questo diventano cose necessarie, "
2336,se non come dal viso in che si specchia,come non accade a una nave di percorrere un fiume impetuoso 
2337,nave che per torrente giù discende.,per il fatto di essere vista dagli occhi di qualcuno.
2338,"Da indi, sì come viene ad orecchia",Da quella mente divina  giunge 
2339,"dolce armonia da organo, mi viene","al mio sguardo il futuro che ti si prepara, "
2340,a vista il tempo che ti s’apparecchia.,come dall’organo giunge all’udito il suo dolce suono.
2341,Qual si partio Ipolito d’Atene,"Come Ippolito, per colpa della crudele e malvagia "
2342,"per la spietata e perfida noverca,","matrigna   dovette lasciare  Atene, "
2343,tal di Fiorenza partir ti convene.,così sarà necessario  a te abbandonare Firenze. 
2344,"Questo si vuole e questo già si cerca,","Questo si desidera e si sta già cercando di attuare, "
2345,e tosto verrà fatto a chi ciò pensa,"e presto verrà fatto da chi  trama , "
2346,là dove Cristo tutto dì si merca.,dove continuamente si fa mercato della religione .
2347,La colpa seguirà la parte offensa,"L’infamia , come sempre accade, "
2348,"in grido, come suol; ma la vendetta",sarà addossata ai vinti a gran voce ; 
2349,fia testimonio al ver che la dispensa.,ma la punizione  dei colpevoli sarà 
2350,Tu lascerai ogne cosa diletta,testimonianza  della verità  che la infligge. 
2351,più caramente; e questo è quello strale,Tu dovrai abbandonare tutto ciò che ami di più: e sarà
2352,che l’arco de lo essilio pria saetta.,questa la prima dolorosa freccia  che l’esilio scocca .
2353,Tu proverai sì come sa di sale,Tu sperimenterai quanto è amaro il pane
2354,"lo pane altrui, e come è duro calle","straniero , e quale umiliante cammino "
2355,lo scendere e ’l salir per l’altrui scale.,sia uscire ed entrare nei palazzi degli altri.
2356,"E quel che più ti graverà le spalle,","E ciò che più ti sarà di peso, "
2357,sarà la compagnia malvagia e scempia,"sono i compagni crudeli e divisi, insieme ai quali "
2358,con la qual tu cadrai in questa valle;,ti troverai in questa misera condizione ; 
2359,"che tutta ingrata, tutta matta ed empia","i quali, completamente ingrati, sciocchi e malvagi "
2360,"si farà contr’ a te; ma, poco appresso,","ti si rivolteranno contro; ma, dopo poco tempo,"
2361,"ella, non tu, n’avrà rossa la tempia.","loro, e non tu, avranno il volto macchiato di rosso."
2362,Di sua bestialitate il suo processo,Il loro comportamento  sarà testimonianza 
2363,farà la prova; sì ch’a te fia bello,della loro follia; e sarà stata cosa 
2364,averti fatta parte per te stesso.,onorevole esserti isolato da loro.
2365,Lo primo tuo refugio e ’l primo ostello,Il primo riparo e ospitale albergo  te
2366,sarà la cortesia del gran Lombardo,lo offrirà il cortese e potente signore lombardo  
2367,che ’n su la scala porta il santo uccello;,che nella sua insegna ha  l’aquila in cima a una scala; 
2368,"ch’in te avrà sì benigno riguardo,",egli si rivolgerà a te con tanta amicizia 
2369,"che del fare e del chieder, tra voi due,","che tra il dare e il chiedere, nel vostro rapporto, "
2370,fia primo quel che tra li altri è più tardo.,verrà prima quello che di solito viene per secondo. 
2371,"Con lui vedrai colui che ’mpresso fue,",Insieme a lui conoscerai l’uomo che alla nascita ricevette  
2372,"nascendo, sì da questa stella forte,","tanto le influenze di forza di questo pianeta , "
2373,che notabili fier l’opere sue.,che le sue azioni saranno  degne di nota.
2374,Non se ne son le genti ancora accorte,I popoli non se ne sono ancora resi conto per la sua
2375,"per la novella età, ché pur nove anni","giovane  età, dato che da soli nove anni "
2376,son queste rote intorno di lui torte;,questi cieli sono girati  per lui; 
2377,"ma pria che ’l Guasco l’alto Arrigo inganni,",ma prima che il papa Clemente V  tradisca 
2378,parran faville de la sua virtute,"il nobile imperatore Arrigo VII, si manifesteranno già "
2379,in non curar d’argento né d’affanni.,le prime scintille  del suo valore nel disprezzare ricchezze e fatiche.
2380,Le sue magnificenze conosciute,Le sue nobili azioni diventeranno allora  
2381,"saranno ancora, sì che ’ suoi nemici","ben note, così che neppure i suoi nemici"
2382,non ne potran tener le lingue mute.,potranno non parlare di lui .
2383,A lui t’aspetta e a’ suoi benefici;,Affidati a lui e alla sua generosità; per opera
2384,"per lui fia trasmutata molta gente,",sua molte persone modificheranno 
2385,cambiando condizion ricchi e mendici;,"il proprio stato, e ricchi e poveri  scambieranno la loro condizione; "
2386,e portera’ne scritto ne la mente,e tu avrai impresse nella memoria  notizie 
2387,"di lui, e nol dirai»; e disse cose",di lui che non riferirai»; e m confidò cose difficili 
2388,incredibili a quei che fier presente.,da credere anche per coloro che le vedranno direttamente.
2389,"Poi giunse: «Figlio, queste son le chiose","Quindi aggiunse: «Figliuolo, queste sono"
2390,di quel che ti fu detto; ecco le ’nsidie,le chiarificazioni  su ciò che ti era stato detto; 
2391,che dietro a pochi giri son nascose.,questi gli agguati che entro pochi anni ti si preparano. 
2392,"Non vo’ però ch’a’ tuoi vicini invidie,","Ma non voglio che tu porti odio  ai tuoi concittadini, "
2393,poscia che s’infutura la tua vita,dato che la tua vita è destinata a durare ben oltre 
2394,vie più là che ’l punir di lor perfidie».,la punizione delle loro malvagie azioni».
2395,"Poi che, tacendo, si mostrò spedita","Quando, con il suo silenzio, il beato dimostrò "
2396,l’anima santa di metter la trama,di aver concluso  di trattare l’argomento  
2397,"in quella tela ch’io le porsi ordita,","che io gli avevo sottoposto appena imbastito , io,"
2398,"io cominciai, come colui che brama,",come una persona che avendo un dubbio desidera
2399,"dubitando, consiglio da persona",avere il consiglio di chi conosce bene le cose e desidera 
2400,che vede e vuol dirittamente e ama:,"il bene  e gli vuole bene, ricominciai a chiedere:"
2401,"«Ben veggio, padre mio, sì come sprona","«Capisco bene, o padre, quanto incalzino"
2402,"lo tempo verso me, per colpo darmi","i tempi contro di me, per infliggermi una sventura tale, "
2403,"tal, ch’è più grave a chi più s’abbandona;",che sarà più dolorosa per chi più vi si lascia andare; 
2404,"per che di provedenza è buon ch’io m’armi,","per cui è bene che io sia previdente , "
2405,"sì che, se loco m’è tolto più caro,","affinché, se verrò privato del luogo che più amo, "
2406,io non perdessi li altri per miei carmi.,"almeno non perda, per colpa dei miei versi , gli altri rifugi."
2407,"Giù per lo mondo sanza fine amaro,","Giù nell’Inferno, luogo di eterno dolore,"
2408,e per lo monte del cui bel cacume,"e su per la montagna del Purgatorio, dalla bella cima  "
2409,"li occhi de la mia donna mi levaro,","del quale lo sguardo di Beatrice mi sollevò, "
2410,"e poscia per lo ciel, di lume in lume,","e poi in Paradiso , di pianeta in pianeta , "
2411,"ho io appreso quel che s’io ridico,","io ho saputo cose che, se le riferirò, a molte persone "
2412,a molti fia sapor di forte agrume;,riusciranno di sapore alquanto aspro ; 
2413,"e s’io al vero son timido amico,","ma se io avrò timore  di dire la verità, "
2414,temo di perder viver tra coloro,ho paura di non sopravvivere  nella memoria 
2415,che questo tempo chiameranno antico».,di quelli che guarderanno a questi anni come a un lontano passato ».
2416,La luce in che rideva il mio tesoro,"Il lume nel quale gioiva  il mio amato antenato ,"
2417,"ch’io trovai lì, si fé prima corusca,","incontrato in quel cielo , dapprima si fece più brillante ,"
2418,quale a raggio di sole specchio d’oro;,come una lamina dorata colpita da un raggio di sole;
2419,indi rispuose: «Coscïenza fusca,poi mi rispose: «L’anima offuscata  da una
2420,o de la propria o de l’altrui vergogna,"vergognosa colpa, personale o di congiunti, certo"
2421,pur sentirà la tua parola brusca.,sentirà sgradevoli  le tue rivelazioni.
2422,"Ma nondimen, rimossa ogne menzogna,","Ciò nonostante, eliminata ogni bugia,"
2423,tutta tua visïon fa manifesta;,dichiara  completamente ciò che hai visto; 
2424,e lascia pur grattar dov’ è la rogna.,e non preoccuparti che chi ha la rogna si gratti. 
2425,Ché se la voce tua sarà molesta,"Poiché ciò che tu dirai, se al primo assaggio "
2426,"nel primo gusto, vital nodrimento","risulterà fastidioso, poi diventerà cibo  vitale, "
2427,"lascerà poi, quando sarà digesta.",una volta digerito .
2428,"Questo tuo grido farà come vento,","La tua forte voce accusatrice  sarà come il vento, "
2429,che le più alte cime più percuote;,che maggiormente colpisce le punte più alte; 
2430,e ciò non fa d’onor poco argomento.,e già questo non è scarso motivo  di onore. 
2431,"Però ti son mostrate in queste rote,","Perciò in questi cieli , e sul colle  "
2432,nel monte e ne la valle dolorosa,e nel mondo infelice  ti si sono fatti incontro 
2433,"pur l’anime che son di fama note,","soprattutto  gli spiriti di persone famose, giacché "
2434,"che l’animo di quel ch’ode, non posa",il sentimento  di chi ascolta non si sofferma 
2435,né ferma fede per essempro ch’aia,né dà credito a un esempio  che abbia 
2436,"la sua radice incognita e ascosa,","un’origine  sconosciuta e nascosta, o ad altra "
2437,né per altro argomento che non paia».,materia argomento) che non appaia evidente ».
2438,Già si godeva solo del suo verbo,"Già in sé gioiva del proprio pensiero quell’anima beata , "
2439,"quello specchio beato, e io gustava","specchio , e io assaporavo il mio, "
2440,"lo mio, temprando col dolce l’acerbo;",mitigando il dolore  con le notizie gradevoli ; 
2441,e quella donna ch’a Dio mi menava,e quella donna  che mi stava guidando a Dio mi disse: 
2442,disse: «Muta pensier; pensa ch’i’ sono,"«Lascia i tuoi turbamenti: ricorda che io già sono vicina a colui , "
2443,presso a colui ch’ogne torto disgrava».,che toglie il peso  di ogni ingiustizia».
2444,Io mi rivolsi a l’amoroso suono,Io mi voltai alle caritatevoli parole della mia consolatrice ; 
2445,del mio conforto; e qual io allor vidi,e rinuncio a descrivere qui la sublime luce di carità 
2446,"ne li occhi santi amor, qui l’abbandono:",che in quel momento vidi sul suo volto beato; 
2447,"non perch’ io pur del mio parlar diffidi,","non solo perché diffido della mia capacità espressiva, "
2448,ma per la mente che non può redire,"ma perché la memoria non può ritornare  così a fondo su se stessa, "
2449,"sovra sé tanto, s’altri non la guidi.",se non la guida un aiuto soprannaturale .
2450,"Tanto poss’ io di quel punto ridire,","Solo questo posso riferire a quel proposito,"
2451,"che, rimirando lei, lo mio affetto","che guardando in Beatrice, la mia anima fu sollevata  "
2452,"libero fu da ogne altro disire,","da ogni altro desiderio,  dato che l’assoluta bellezza divina , "
2453,"fin che ’l piacere etterno, che diretto","che risplendeva direttamente  in lei, "
2454,"raggiava in Bëatrice, dal bel viso","riflettendosi  dal suo luminoso volto, "
2455,mi contentava col secondo aspetto.,mi dava una gioia totale .
2456,"Vincendo me col lume d’un sorriso,","Beatrice mi disse, forzando la mia volontà con"
2457,ella mi disse: «Volgiti e ascolta;,il bagliore del sorriso: «Girati e ascolta le sue parole;
2458,ché non pur ne’ miei occhi è paradiso».,poiché la felicità celeste  non risiede solo nel mio volto».
2459,Come si vede qui alcuna volta,Come sulla terra  a volte vediamo dagli occhi  
2460,"l’affetto ne la vista, s’elli è tanto,","il sentimento  di una persona, se esso è tanto "
2461,"che da lui sia tutta l’anima tolta,","forte che tutta la persona  è presa da esso,"
2462,"così nel fiammeggiar del folgór santo,","così nello sfolgorare di quella luce  beata, "
2463,"a ch’io mi volsi, conobbi la voglia","verso la quale mi girai, compresi il suo intenso desiderio "
2464,in lui di ragionarmi ancora alquanto.,di spiegarmi ancora molte altre cose.
2465,El cominciò: «In questa quinta soglia,"Egli così iniziò a dire: «In questo quinto cielo  ,"
2466,de l’albero che vive de la cima,che è come un albero che trae vita  dalla sua cima
2467,"e frutta sempre e mai non perde foglia,","e dà sempre frutti e da cui non cade mai una foglia,"
2468,"spiriti son beati, che giù, prima","ci sono delle anime sante che sulla terra , prima di salire qui,"
2469,"che venissero al ciel, fuor di gran voce,","furono di tanta fama , che ogni opera poetica  "
2470,sì ch’ogne musa ne sarebbe opima.,ricaverebbe da loro ricca ispirazione . 
2471,Però mira ne’ corni de la croce:,Perciò osserva bene i bracci  di questa croce:
2472,"quello ch’io nomerò, lì farà l’atto",lo spirito che io nominerò vi  si manifesterà 
2473,che fa in nube il suo foco veloce».,come un lampo  nella propria nuvola».
2474,Io vidi per la croce un lume tratto,Vidi lungo la croce un lampo suscitato dal nome 
2475,"dal nomar Iosuè, com’ el si feo;","di Giosuè, non appena venne menzionato;"
2476,né mi fu noto il dir prima che ’l fatto.,e non mi accorsi del suo nome prima che del suo manifestarsi .
2477,E al nome de l’alto Macabeo,"E quando fu nominato il grande Giuda Maccabeo, "
2478,"vidi moversi un altro roteando,","vidi un’altra luce muoversi in tondo, e come la corda  "
2479,e letizia era ferza del paleo.,con la trottola  così era la sua gioia a farla girare. 
2480,Così per Carlo Magno e per Orlando,Similmente al nome di Carlo Magno e di Orlando 
2481,"due ne seguì lo mio attento sguardo,","i miei occhi  attenti seguirono altri due bagliori, "
2482,com’ occhio segue suo falcon volando.,come l’occhio  segue il falcone mentre vola.
2483,Poscia trasse Guiglielmo e Rinoardo,"Poi Guglielmo d’Orange e Rinoardo, il duca"
2484,e ’l duca Gottifredi la mia vista,Goffredo di Buglione e Roberto il Guiscardo attrassero
2485,"per quella croce, e Ruberto Guiscardo.",il mio sguardo muovendosi lungo la croce.
2486,"Indi, tra l’altre luci mota e mista,","Infine, tornata  e riunita  alle altre,"
2487,mostrommi l’alma che m’avea parlato,l’anima  con cui avevo parlato mi mostrò 
2488,qual era tra i cantor del cielo artista.,quale eccellente cantore essa fosse fra gli altri di quella sfera.
2489,Io mi rivolsi dal mio destro lato,Io mi voltai verso destra per avere 
2490,"per vedere in Beatrice il mio dovere,","indicazioni  da Beatrice, con parole "
2491,"o per parlare o per atto, segnato;","o con gesti, su ciò che dovevo fare ; "
2492,"e vidi le sue luci tanto mere,","e vidi i suoi occhi  così splendenti , così gioiosi,"
2493,"tanto gioconde, che la sua sembianza",che il suo aspetto superava tutti quelli 
2494,vinceva li altri e l’ultimo solere.,"che le erano soliti , compreso l’ultimo."
2495,"E come, per sentir più dilettanza",E come una persona si rende conto che 
2496,"bene operando, l’uom di giorno in giorno","la sua virtù cresce  di giorno in giorno, "
2497,"s’accorge che la sua virtute avanza,","per il fatto di provare sempre maggior piacere dall’agire virtuosamente, "
2498,sì m’accors’ io che ’l mio girare intorno,così io mi accorsi dal vedere più splendente quella donna miracolosa 
2499,"col cielo insieme avea cresciuto l’arco,",che il mio girare insieme alla sfera celeste 
2500,veggendo quel miracol più addorno.,aveva aumentato la sua circonferenza .
2501,E qual è ’l trasmutare in picciol varco,E come avviene in breve spazio di tempo  
2502,"di tempo in bianca donna, quando ’l volto","il cambiamento di colore  in una donna dalla carnagione chiara, "
2503,"suo si discarchi di vergogna il carco,","quando il suo viso si libera dal peso  della vergogna, "
2504,"tal fu ne li occhi miei, quando fui vòlto,","così avvenne alla mia vista, una volta giratomi, "
2505,per lo candor de la temprata stella,"per la luce bianca del tiepido sesto pianeta , "
2506,"sesta, che dentro a sé m’avea ricolto.",che mi aveva accolto nella sua sfera.
2507,Io vidi in quella giovïal facella,Io vidi in quella luminosa sfera  di Giove  
2508,lo sfavillar de l’amor che lì era,"le anime splendenti di carità, che si trovavano là, "
2509,segnare a li occhi miei nostra favella.,comporre ai miei occhi i segni del nostro parlare umano .
2510,"E come augelli surti di rivera,","E simili a uccelli che si alzano dall’acqua , "
2511,"quasi congratulando a lor pasture,","come per festeggiare il loro pasto, e si schierano "
2512,"fanno di sé or tonda or altra schiera,","in cerchio  o in altra forma,"
2513,sì dentro ai lumi sante creature,così le anime beate dentro alle loro luci si misero 
2514,"volitando cantavano, e faciensi","a cantare volando , e formavano con le loro"
2515,"or D, or I, or L in sue figure.","disposizioni le forme della lettera D, poi la I, quindi la L. "
2516,"Prima, cantando, a sua nota moviensi;","Dapprima danzavano seguendo il ritmo del loro  canto , "
2517,"poi, diventando l’un di questi segni,","poi, assumendo la forma di tali lettere, "
2518,un poco s’arrestavano e taciensi.,si fermavano un attimo in silenzio.
2519,O diva Pegasëa che li ’ngegni,"O divina Musa , che dai la gloria e "
2520,"fai glorïosi e rendili longevi,","rendi immortali  le menti dei poeti , "
2521,"ed essi teco le cittadi e ’ regni,","e queste, grazie a te , immortalano città e stati: "
2522,"illustrami di te, sì ch’io rilevi","illuminami con la tua virtù, così che io sappia rappresentare  "
2523,le lor figure com’ io l’ho concette:,quelle immagini come le ho impresse nella mente : 
2524,paia tua possa in questi versi brevi!,si dimostri la tua forza in questi piccoli versi.
2525,Mostrarsi dunque in cinque volte sette,Le anime mi si mostrarono in trentacinque lettere 
2526,vocali e consonanti; e io notai,tra vocali e consonanti; e io presi nota delle singole lettere 
2527,"le parti sì, come mi parver dette.",quanto dell’ordine in cui apparivano raffigurate.
2528,"‘DILIGITE IUSTITIAM’, primai",‘Amate la giustizia’ furono il primo verbo
2529,fur verbo e nome di tutto ’l dipinto;,e il primo sostantivo di tutta la raffigurazione ; 
2530,"‘QUI IUDICATIS TERRAM’, fur sezzai.","‘voi che giudicate la terra’, furono gli ultimi ."
2531,Poscia ne l’emme del vocabol quinto,Poi le anime si fermarono disposte nella
2532,rimasero ordinate; sì che Giove,forma della M della quinta parola; così che il cielo
2533,pareva argento lì d’oro distinto.,di Giove si mostrava lì come argento trapuntato  d’oro.
2534,E vidi scendere altre luci dove,E dall’alto vidi calare altri spiriti luminosi sul
2535,"era il colmo de l’emme, e lì quetarsi","punto più alto  della M, e lì fermarsi inneggiando, "
2536,"cantando, credo, il ben ch’a sé le move.","mi parve, il Bene che li attira a sé ."
2537,"Poi, come nel percuoter d’i ciocchi arsi","Quindi, come colpendo dei tizzoni ardenti"
2538,"surgono innumerabili faville,","si sprigionano miriadi di faville, da cui le persone"
2539,"onde li stolti sogliono agurarsi,","ignoranti hanno l’abitudine di trarre presagi , "
2540,resurger parver quindi più di mille,dal colmo dell’emme  si videro innumerevoli lumi levarsi  
2541,"luci e salir, qual assai e qual poco,","e alzarsi, chi più chi meno, a seconda di come le ha destinate "
2542,sì come ’l sol che l’accende sortille;,"il sole , che le fa ardere di carità; "
2543,"e quïetata ciascuna in suo loco,","e quando ognuna si fu fermata al posto designato, "
2544,la testa e ’l collo d’un’aguglia vidi,vidi la testa e il collo di un’aquila  raffigurati da quegli
2545,rappresentare a quel distinto foco.,splendori  che si distinguevano sullo sfondo del cielo .
2546,"Quei che dipinge lì, non ha chi ’l guidi;","Colui che così dipinge in cielo , non ha un modello, "
2547,"ma esso guida, e da lui si rammenta",è lui il modello e in lui si riconosce quella virtù generativa 
2548,quella virtù ch’è forma per li nidi.,che è principio vitale per le creature .
2549,"L’altra bëatitudo, che contenta","Gli altri beati, che prima si mostravano felici"
2550,"pareva prima d’ingigliarsi a l’emme,","nel comporre a forma di giglio  l’emme,"
2551,con poco moto seguitò la ’mprenta.,con pochi spostamenti completarono l’immagine .
2552,"O dolce stella, quali e quante gemme","O beato pianeta, quanto preziose e quanto numerose luci sante "
2553,mi dimostraro che nostra giustizia,mi diedero prova che la giustizia terrena deriva 
2554,effetto sia del ciel che tu ingemme!,dall’influsso di questo cielo che tu adorni ! 
2555,Per ch’io prego la mente in che s’inizia,"Per questo invoco Dio, che imprime il tuo movimento e la tua virtù, "
2556,"tuo moto e tua virtute, che rimiri",affinché rivolga lo sguardo al luogo da cui proviene 
2557,ond’ esce il fummo che ’l tuo raggio vizia;,la caligine  che offusca  la tua influenza; 
2558,sì ch’un’altra fïata omai s’adiri,così che si indigni finalmente per una seconda volta 
2559,del comperare e vender dentro al templo,contro il commercio che si fa dentro quel santo tempio 
2560,che si murò di segni e di martìri.,che fu eretto  con i miracoli  e con il sangue dei martiri.
2561,"O milizia del ciel cu’ io contemplo,",O beata schiera del cielo che io ancora
2562,adora per color che sono in terra,"contemplo, prega Dio  per tutti quelli che"
2563,tutti svïati dietro al malo essemplo!,sulla terra vivono traviati dal cattivo  esempio!
2564,Già si solea con le spade far guerra;,Una volta si combatteva con le armi;
2565,ma or si fa togliendo or qui or quivi,adesso invece lo si fa negando ora a questo ora a quello il sacramento  
2566,lo pan che ’l pïo Padre a nessun serra.,che il Dio di carità non nega  a nessuno. 
2567,"Ma tu che sol per cancellare scrivi,","Ma tu  che firmi scomuniche solo per poi annullarle , "
2568,"pensa che Pietro e Paulo, che moriro","ricordati che s. Pietro e s. Paolo, morti per il bene "
2569,"per la vigna che guasti, ancor son vivi.","della Chiesa  che tu rovini, sono ancora vivi. "
2570,Ben puoi tu dire: «I’ ho fermo ’l disiro,"Vero è che tu puoi dire: «Il mio unico desiderio va a Giovanni Battista , "
2571,sì a colui che volle viver solo,colui che volle vivere da eremita e che fu condotto al martirio 
2572,"e che per salti fu tratto al martiro,","per le danze  di Salomè, ché non so chi siano "
2573,ch’io non conosco il pescator né Polo».,né il pescatore  né Paolo».
2574,Parea dinanzi a me con l’ali aperte,"Dinnanzi a me si mostrava la santa immagine ,"
2575,la bella image che nel dolce frui,"con le ali distese, che le anime felici unite insieme  "
2576,liete facevan l’anime conserte;,avevano formato nel loro beato piacere ; 
2577,parea ciascuna rubinetto in cui,e ognuna di esse appariva come un rubino  
2578,"raggio di sole ardesse sì acceso,",in cui sfolgorasse il raggio di un sole tanto intenso 
2579,che ne’ miei occhi rifrangesse lui.,da riflettere la sua luce  nei miei occhi.
2580,"E quel che mi convien ritrar testeso,",E ciò che adesso  devo riferire non fu mai riportato  
2581,"non portò voce mai, né scrisse incostro,","da alcuna voce, né alcuna penna lo scrisse , "
2582,né fu per fantasia già mai compreso;,né alcuna immaginazione mai lo poté concepire prima; 
2583,"ch’io vidi e anche udi’ parlar lo rostro,",poiché io vidi e sentii parlare il becco  ;
2584,"e sonar ne la voce e «io» e «mio»,",e nel parlare la sentii dire ‘io’ e ‘mio’ 
2585,quand’ era nel concetto e ‘noi’ e ‘nostro’.,quando secondo logica  doveva dire ‘noi’ e ‘nostro’ .
2586,E cominciò: «Per esser giusto e pio,"E l’Aquila iniziò a dire: «Io sono stata innalzata  a questa gloria , "
2587,son io qui essaltato a quella gloria,"che non può essere superata da alcun desiderio, "
2588,che non si lascia vincere a disio;,poiché sono stata giusta e misericordiosa; 
2589,e in terra lasciai la mia memoria,"nel mondo ho lasciato un ricordo di me tale, "
2590,"sì fatta, che le genti lì malvage","che laggiù anche le persone malvagie lo lodano , "
2591,"commendan lei, ma non seguon la storia».",ma poi non ne imitano le azioni ».
2592,Così un sol calor di molte brage,Come da più carboni ardenti si effonde un
2593,"si fa sentir, come di molti amori","unico fuoco, così di tante anime beate  si"
2594,usciva solo un suon di quella image.,sentiva da quella figura  un’unica voce.
2595,Ond’ io appresso: «O perpetüi fiori,E io subito dopo  : «O eterni
2596,"de l’etterna letizia, che pur uno","fiori dell’infinita beatitudine, che fate sì che tutti i"
2597,"parer mi fate tutti vostri odori,","vostri profumi mi appaiano come uno solo, "
2598,"solvetemi, spirando, il gran digiuno","risolvetemi, parlando , il grave dubbio "
2599,"che lungamente m’ha tenuto in fame,","che da molto tempo mi fa stare in ansia ,"
2600,non trovandoli in terra cibo alcuno.,poiché sulla terra non ho trovato alcuna risposta .
2601,"Ben so io che, se ’n cielo altro reame","Io so per certo che, pur se la giustizia divina"
2602,"la divina giustizia fa suo specchio,","si specchia qui in Paradiso in un altro ordine di angeli ,"
2603,che ’l vostro non l’apprende con velame.,voi la potete conoscere senza alcuna oscurità . 
2604,Sapete come attento io m’apparecchio,Voi vedete con quanta attenzione mi dispongo 
2605,ad ascoltar; sapete qual è quello,ad ascoltarvi: voi conoscete qual è il dubbio 
2606,dubbio che m’è digiun cotanto vecchio».,che è per me antico  inappagato desiderio ».
2607,"Quasi falcone ch’esce del cappello,","Simile a un falcone cui si toglie il cappuccio,"
2608,"move la testa e con l’ali si plaude,","e che scuote la testa e sbatte le ali , "
2609,"voglia mostrando e faccendosi bello,","dimostrando la bramosia di cacciare e pavoneggiandosi,"
2610,"vid’ io farsi quel segno, che di laude","io vidi muoversi quell’Aquila simbolica ,"
2611,"de la divina grazia era contesto,","che era formata  da spiriti che glorificavano  la grazia divina, "
2612,con canti quai si sa chi là sù gaude.,con canti che conosce bene chi gode la gioia di lassù .
2613,Poi cominciò: «Colui che volse il sesto,"Quindi iniziò: «Dio, colui che girò  il compasso  "
2614,"a lo stremo del mondo, e dentro ad esso","nel creare i confini  dell’universo, "
2615,"distinse tanto occulto e manifesto,",e in questo dispose ordinatamente le cose 
2616,non poté suo valor sì fare impresso,"incomprensibili  e comprensibili , "
2617,"in tutto l’universo, che ’l suo verbo",non poté imprimere la sua potenza in tutte le creature 
2618,non rimanesse in infinito eccesso.,in modo tale che il suo Verbo non restasse infinitamente superiore a loro.
2619,"E ciò fa certo che ’l primo superbo,","E di questo è prova sicura il fatto che Lucifero , "
2620,"che fu la somma d’ogne creatura,","la più alta delle creature, per non aver saputo attendere "
2621,"per non aspettar lume, cadde acerbo;",la Grazia divina precipitò imperfetto  all’Inferno; 
2622,e quinci appar ch’ogne minor natura,e dall’esempio  risulta chiaro che ogni creatura più bassa
2623,è corto recettacolo a quel bene,è contenitore insufficiente  per l’infinita bontà .
2624,che non ha fine e sé con sé misura.,che può essere misurata solo con se stessa.
2625,"Dunque vostra veduta, che convene","Pertanto la vista della vostra mente ,"
2626,esser alcun de’ raggi de la mente,che è necessario  che sia solo uno 
2627,"di che tutte le cose son ripiene,","dei raggi della mente divina che ricolma di sé tutte le creature, "
2628,non pò da sua natura esser possente,"per sua natura non può avere tanto potere, "
2629,"tanto, che suo principio discerna",da riuscire a comprendere il suo principio  
2630,molto di là da quel che l’è parvente.,molto più profondamente  di quanto appaia ai sensi .
2631,Però ne la giustizia sempiterna,Perciò la capacità di comprendere che la natura umana 
2632,"la vista che riceve il vostro mondo,","ha avuto, penetra  nel mistero dell’eterna "
2633,"com’ occhio per lo mare, entro s’interna;",giustizia divina come la vista fisica penetra nel mare; 
2634,"che, ben che da la proda veggia il fondo,","la quale, per quanto a riva  riesca a scorgere"
2635,in pelago nol vede; e nondimeno,"il fondo, al largo  non lo vede più; e ciò "
2636,"èli, ma cela lui l’esser profondo.","nonostante esso c’è , ma la sua profondità lo nasconde  alla vista. "
2637,"Lume non è, se non vien dal sereno","Non c’è vera luce, se non discende da Dio, luminosità che mai si offusca; "
2638,che non si turba mai; anzi è tenèbra,altrimenti c’è solo il buio o l’apparenza vaga che deriva
2639,od ombra de la carne o suo veleno.,"dai sensi , o da essi corrotta ."
2640,Assai t’è mo aperta la latebra,Adesso ti è stata chiarita  la profondità  
2641,"che t’ascondeva la giustizia viva,","in cui ti si nascondeva l’essenza della giustizia divina, "
2642,di che facei question cotanto crebra;,su cui ti interrogavi tanto frequentemente ;
2643,ché tu dicevi: “Un uom nasce a la riva,poiché tu ti chiedevi: ‘Una persona nasce presso 
2644,"de l’Indo, e quivi non è chi ragioni","le sponde dell’Indo, e in quel luogo non c’è nessuno "
2645,di Cristo né chi legga né chi scriva;,che predichi o insegni o scriva di Cristo; 
2646,e tutti suoi voleri e atti buoni,"e tutte le sue intenzioni  e azioni sono buone, "
2647,"sono, quanto ragione umana vede,","rispetto a quello che la mente umana può capire, "
2648,sanza peccato in vita o in sermoni.,senza peccati nelle opere  o nei discorsi. 
2649,Muore non battezzato e sanza fede:,Questi muore senza battesimo e senza fede: 
2650,ov’ è questa giustizia che ’l condanna?,in che consiste la giustizia che lo danna? 
2651,"ov’ è la colpa sua, se ei non crede?”.",Qual è la sua colpa per il fatto di non avere la fede cristiana?’.
2652,"Or tu chi se’, che vuo’ sedere a scranna,",Ma chi sei tu che vuoi sederti sul seggio 
2653,per giudicar di lungi mille miglia,"del giudice , per giudicare cose lontane "
2654,con la veduta corta d’una spanna?,mille miglia con la vista lunga un palmo? 
2655,"Certo a colui che meco s’assottiglia,","È vero che chi ragiona sottilmente  su di me, "
