,Paradiso,gpt_parafrasi
1202," ora conosce quanto caro costa non seguir Cristo, per l’esperïenza di questa dolce vita e de l’opposta","Ora sa quanto sia prezioso seguire Cristo, poiché ha vissuto la bellezza della vita in Paradiso e le tenebre del mondo all'Inferno."
1203," E quel che segue in la circunferenza di che ragiono, per l’arco superno, morte indugiò per vera penitenza","La benedizione seguita dal circolo di cui parlo, al suo interno superiore, riuscì a differire la morte per mezzo di una sincera confessione."
1204," ora conosce che ’l giudicio etterno non si trasmuta, quando degno preco fa crastino là giù de l’odïerno","Ora sa che l'emissione di un sentenza definitiva non può essere cambiata, quandanche la preghiera fervida di un'anima virtuosa sulla Terra richiami alla memoria ciò che è stato già decretato."
1205," L’altro che segue, con le leggi e meco, sotto buona intenzion che fé mal frutto, per cedere al pastor si fece greco","Colui che venne dopo, con le migliori intenzioni ma che alla fine diede risultati negativi, lasciò il pastore diventando greco."
1206," ora conosce come il mal dedutto dal suo bene operar non li è nocivo, avvegna che sia ’l mondo indi distrutto","Adesso riconosce che la conseguenza distruttiva dei suoi buoni comportamenti non gli ha arrecato danni, anche se il mondo ne è stato devastato."
1207," E quel che vedi ne l’arco declivo, Guiglielmo fu, cui quella terra plora che piagne Carlo e Federigo vivo","Egli che sta nell'arco discendente è stato Guglielmo il Buono, al quale è dedicata una grande nostalgia nelle terre ora governate da Carlo II d'Angiò e Federico II d'Aragona."
1208," ora conosce come s’innamora lo ciel del giusto rege, e al sembiante del suo fulgore il fa vedere ancora","Il Cielo conferma il suo sostegno a un sovrano giusto, ricompensandolo con l'incanto ancora oggi visibile del proprio aspetto."
1209," Chi crederebbe giù nel mondo errante che Rifëo Troiano in questo tondo fosse la quinta de le luci sante? ","Chi, nell'universo in movimento, potrebbe mai pensare che il troiano Rifeo fosse la quinta di un gruppo di santi illuminati?"
1210," Ora conosce assai di quel che ’l mondo veder non può de la divina grazia, ben che sua vista non discerna il fondo»","Lei ha imparato molto più della grazia divina rispetto a ciò che gli uomini ne sanno, anche se la sua visione non può penetrarne completamente l'essenza."
1211," Quale allodetta che ’n aere si spazia prima cantando, e poi tace contenta de l’ultima dolcezza che la sazia, ","Simile all'allodola che, dopo aver cantato con allegria nel cielo, si concede il lusso di godere della sua ultima nota piacevole, dando segno di soddisfazione."
1212," tal mi sembiò l’imago de la ’mprenta de l’etterno piacere, al cui disio ciascuna cosa qual ell’ è diventa","L'immagine della presenza divina mi apparve così, poiché per il suo desiderio tutto ciò che è stato creato è come adesso."
1213," E avvegna ch’io fossi al dubbiar mio lì quasi vetro a lo color ch’el veste, tempo aspettar tacendo non patio, ","Benché dubitassi come un vetro che assume le sfumature di ciò su cui poggia, non resistetti all'impulso di parlare senza aspettare."
1214," ma de la bocca, «Che cose son queste?», mi pinse con la forza del suo peso",Con forza di dubbio dalla bocca uscì «Che cos'è tutto questo?»
1215," per ch’io di coruscar vidi gran feste",allora io osservai i beati brillare di piacere per avermi risposto
1216," Poi appresso, con l’occhio più acceso, lo benedetto segno mi rispuose per non tenermi in ammirar sospeso","In un lampo, con il suo sguardo luminoso, la benedizione a cui avevo assistito mi rispose immediatamente stupendomi."
1217," «Io veggio che tu credi queste cose perch’ io le dico, ma non vedi come","io vedo che tu credi a queste cose perchè te le dico io, ma non capisci il perchè"
1218," sì che, se son credute, sono ascose","In tale mondo, anche se ritenute, sono oscure"
1219," Fai come quei che la cosa per nome apprende ben, ma la sua quiditate veder non può se altri non la prome","Tu decifri ciò che è espresso nel nome di una cosa, ma non la comprendi se qualcun altro non ti ne dà spiegazione."
1220," Regnum celorum vïolenza pate da caldo amore e da viva speranza, che vince la divina volontate",La violenza calda dell'amore caritatevole e la speranza viva che contraddice la volontà divina sono sopportate dal Regno dei Cieli.
1221," non a guisa che l’omo a l’om sobranza, ma vince lei perché vuole esser vinta, e, vinta, vince con sua beninanza","Non vince con forza ma con gentilezza, non per sovrastare un altro ma solo sottomettere quel che vuole essere conquistato e, una volta fatto proprio, la sua bontà porta alla vittoria."
1222," La prima vita del ciglio e la quinta ti fa maravigliar, perché ne vedi la regïon de li angeli dipinta",Vedere la prima e l'ultima anima del gruppo che risiedono nella terra degli angeli vi lascerà a bocca aperta.
1223," D’i corpi suoi non uscir, come credi, Gentili, ma Cristiani, in ferma fede quel d’i passuri e quel d’i passi piedi","Non lasciarono le loro carni, ma Cristiani, Rifeo con una profonda speranza nel futuro martirio di Cristo e Traiano nei ricordi di quello precedente."
1224," Ché l’una de lo ’nferno, u’ non si riede già mai a buon voler, tornò a l’ossa","Invero, prima di risorgere dall'Inferno, un luogo da cui non esce nessuno che mantenga buoni propositi, egli ritornò alle sue spoglie mortali."
1225," e ciò di viva spene fu mercede",una brillante aspettativa fu premiata.
1226," di viva spene, che mise la possa ne’ prieghi fatti a Dio per suscitarla, sì che potesse sua voglia esser mossa","Con fede e preghiere rivolte a Dio, sperò che la forza divina trasformasse il suo desiderio in una qualcosa di più nobile per farlo risvegliare."
1227," L’anima glorïosa onde si parla, tornata ne la carne, in che fu poco, credette in lui che potëa aiutarla","L'anima maestosa di cui parlo, ritornata nella materia, per un breve periodo di tempo, confidò in Colui che poteva salvarla."
1228," e credendo s’accese in tanto foco di vero amor, ch’a la morte seconda fu degna di venire a questo gioco","Credendo con una passione di amore sincero, si riscaldò al punto da meritare, dopo essere stato chiamato all'altra vita per la seconda volta, l'illuminazione della beatitudine."
1229," L’altra, per grazia che da sì profonda fontana stilla, che mai creatura non pinse l’occhio infino a la prima onda, ","Grazie alla grande misericordia di Dio, la cui fonte è così profonda da essere impenetrabile dal genere umano, l'altro godette della divina grazia."
1230," tutto suo amor là giù pose a drittura",pose la propria devozione nella giustizia.
1231," per che, di grazia in grazia, Dio li aperse l’occhio a la nostra redenzion futura","Pertanto, grazie alla Sua abbondante misericordia, Dio gli mostrò una visione della salvezza che ci attendeva."
1232," ond’ ei credette in quella, e non sofferse da indi il puzzo più del paganesmo","Dopo aver deciso di credere in lei, non tollerò più l'odore nauseabondo del paganesimo."
1233," e riprendiene le genti perverse",e criticandone i perversi adepti
1234," Quelle tre donne li fur per battesmo che tu vedesti da la destra rota, dinanzi al battezzar più d’un millesmo","Quelle tre donne che si erano trovate alla destra della carrozza, avevano conferito un battesimo più di mille anni prima che diventasse un'abitudine."
1235," O predestinazion, quanto remota è la radice tua da quelli aspetti che la prima cagion non veggion tota","Oh destino, così lontana è la tua origine da quelle viste che non hanno modo di scorgere Dio nella sua totalità!"
1236," E voi, mortali, tenetevi stretti a giudicar","Fate attenzione nel valutare le situazioni, voi uomini."
1237," ché noi, che Dio vedemo, non conosciamo ancor tutti li eletti","Noi che siamo stati prescelti per vedere Dio, non sappiamo ancora quanti di noi siano stati privilegiati."
1238," ed ènne dolce così fatto scemo, perché il ben nostro in questo ben s’affina, ","la nostra ignoranza è dolce in tutta la sua pienezza, rendendo la nostra gioia ancora più intensa."
1239," che quel che vole Iddio, e noi volemo»",Tutto ciò che desideriamo è quello che Dio vuole.
1240," Così da quella imagine divina, per farmi chiara la mia corta vista, data mi fu soave medicina","Così quella magnifica immagine, per illuminare la mia vista non perfetta, mi diede un dolce sollievo."
1241," E come a buon cantor buon citarista fa seguitar lo guizzo de la corda, in che più di piacer lo canto acquista, ","Il bravo chitarrista aumenta la dolcezza della melodia del cantante al suonare le corde, rendendo piacevole l'esecuzione."
1242," sì, mentre ch’e’ parlò, sì mi ricorda ch’io vidi le due luci benedette, pur come batter d’occhi si concorda, con le parole mover le fiammette","Mentre parlava, ricordo di aver visto le due luci benedette simili al batter d'occhi simultaneo mentre le Sue parole facevano avvampare fiamme."
1243," Già eran li occhi miei rifissi al volto de la mia donna, e l’animo con essi, e da ogne altro intento s’era tolto","Il mio sguardo era di nuovo concentrato sul volto della mia compagna, e con esso la mia anima che non aveva più interesse per nessun'altra cosa."
1244," E quella non ridea",e quella non sorrideva
1245," ma «S’io ridessi», mi cominciò, ","Iniziò a dirmi, ""se io sorridessi""."
1246," «tu ti faresti quale fu Semelè quando di cener fessi",Diventeresti come Semele quando fu ridotta in cenere.
1247," ché la bellezza mia, che per le scale de l’etterno palazzo più s’accende, ","man mano che saliamo le scale del palazzo eterno, la mia bellezza aumenta di intensità."
1248," com’ hai veduto, ",In base a ciò che hai visto
1249," quanto più si sale, se non si temperasse, tanto splende, che ’l tuo mortal podere, al suo fulgore, sarebbe fronda che trono scoscende","Se non fosse mitigata, il suo splendore sarebbe così intenso che i tuoi occhi umani ne sarebbero accecati come da una folgore."
1250," Noi sem levati al settimo splendore, che sotto ’l petto del Leone ardente raggia mo misto giù del suo valore","Noi abbiamo raggiunto il settimo Cielo, che irradia sulla Terra i propri effetti amalgamati con quelli della costellazione del Leone scintillante."
1251," Ficca di retro a li occhi tuoi la mente, e fa di quelli specchi a la figura che ’n questo specchio ti sarà parvente»",Osserva adesso con grande attenzione e rifletti sulla maestosità dello splendore del Cielo.
1252," Qual savesse qual era la pastura del viso mio ne l’aspetto beato quand’ io mi trasmutai ad altra cura, ","Colui che ha visto la felicità nei miei occhi, mentre fissavo Beatrice, e si è accorto del cambiamento quando ho voltato lo sguardo, conoscerebbe il mio amore."
1253," conoscerebbe quanto m’era a grato ubidire a la mia celeste scorta, contrapesando l’un con l’altro lato","saprebbe di quanto fosse importante seguire i consigli della mia guida spirituale, allineando le due componenti essenziali della mia personalità."
1254," Dentro al cristallo che ’l vocabol porta, cerchiando il mondo, del suo caro duce sotto cui giacque ogne malizia morta, ","Il Cielo, conosciuto come il regno del dio che ha soppresso ogni malvagità, ruota intorno alla Terra."
1255," di color d’oro in che raggio traluce vid’ io uno scaleo eretto in suso tanto, che nol seguiva la mia luce","Mentre il sole splendeva, vidi una scala dorata che saliva verso l'alto, così alta che non riuscivo a intravederne la fine."
1256," Vidi anche per li gradi scender giuso tanti splendor, ch’io pensai ch’ogne lume che par nel ciel, quindi fosse diffuso","Mentre scendevo di sotto, notai una miriade di luci avvolgere la scala; era come se tutte le stelle del cielo si fossero riversate dentro quel momento magico."
1257," E come, per lo natural costume, le pole insieme, al cominciar del giorno, si movono a scaldar le fredde piume","Come i corvi grigi, mossi dalla propria condotta ineluttabile, si destano prima dell'alba per riscaldare le loro piume gelide."
1258," poi altre vanno via sanza ritorno, altre rivolgon sé onde son mosse, e altre roteando fan soggiorno","Alcuni si allontanano per non tornare, altri ritornano al punto di partenza, mentre altri rimangono nello stesso luogo volteggiando."
1259," tal modo parve me che quivi fosse in quello sfavillar che ’nsieme venne, sì come in certo grado si percosse",così mi parve che quelle luci scintillanti si muovessero seguendo ogni gradino della scala
1260," E quel che presso più ci si ritenne, si fé sì chiaro, ch’io dicea pensando","Quell'uomo che si trovava più vicino a noi, brillava così tanto da farmi pensare"
1261," ‘Io veggio ben l’amor che tu m’accenne",'Rilevo chiaramente l'amore che mi mostri.
1262," Ma quella ond’ io aspetto il come e ’l quando del dire e del tacer, si sta","Spero che lei possa darmi un consiglio su quando parlare e quando tacere, ma non fa niente."
1263," ond’ io, contra ’l disio, fo ben ch’io non dimando’","Pur volendo chiedere, sarebbe saggio da parte mia non farlo."
1264," Per ch’ella, che vedëa il tacer mio nel veder di colui che tutto vede, mi disse","Lei, che intuiva le motivazioni del mio silenzio percepite da Colui Onnisciente, mi disse"
1265," «Solvi il tuo caldo disio»",Mette in atto il tuo bramato desiderio.
1266," E io incominciai",ed io iniziai
1267," «La mia mercede non mi fa degno de la tua risposta","Nonostante i miei meriti, non mi sento ancora degno della tua risposta."
1268," ma per colei che ’l chieder mi concede, vita beata che ti stai nascosta dentro a la tua letizia, ","Invocando colei che mi dà il permesso di interrogare, o anima benedetta celata entro la tua stessa felicità,"
1269," fammi nota la cagion che sì presso mi t’ha posta",fammi sapere il motivo per cui ti sei avvicinato a me
1270," e dì perché si tace in questa rota la dolce sinfonia di paradiso, che giù per l’altre suona sì divota»","e dimmi perchè non si sente in questo cielo la dolce melodia del paradico, che negli altri risuona così forte"
1271," «Tu hai l’udir mortal sì come il viso», rispuose a me","«Hai l'udito come la vista, entrambi di una mortalità comune», mi rispose."
1272," «onde qui non si canta per quel che Bëatrice non ha riso","per la stessa ragione che ha impedito a Beatrice di sorridere, è per questo motivo che non c'è cantare qui."
1273," Giù per li gradi de la scala santa discesi tanto sol per farti festa col dire e con la luce che mi ammanta","Sono sceso gioiosamente lungo i gradini della scala santa per celebrare la tua presenza, accompagnato da parole e dalla luminosità che mi circonda."
1274," né più amor mi fece esser più presta, ",non ho più coltivato un amore speciale per te.
1275," ché più e tanto amor quinci sù ferve, sì come il fiammeggiar ti manifesta","Il loro amore per le anime è di una grandezza che eguale o superiore al mio, come evidenziato dal loro brillare."
1276," Ma l’alta carità, che ci fa serve pronte al consiglio che ’l mondo governa, sorteggia qui sì come tu osserve»","La grande bontà che ci impegna a ubbidire alla volontà di Dio, supervisore del mondo, assegna a noi compiti come tu stai notando."
1277," «Io veggio ben», diss’ io, ","Io dissi: ""Io ci vedo bene""."
1278," «sacra lucerna, come libero amore in questa corte basta a seguir la provedenza etterna","O luce divina, come l'amore incondizionato in questo firmamento ci consente di eseguire la volontà della Provvidenza eterna."
1279," ma questo è quel ch’a cerner mi par forte, perché predestinata fosti sola a questo officio tra le tue consorte»","Riesco a malapena a capire perché tu, tra le altre anime, sei stata designata a questa missione così complessa."
1280," Né venni prima a l’ultima parola, che del suo mezzo fece il lume centro, girando sé come veloce mola","Prima che riuscissi a terminare la frase, la luce iniziò ad ondeggiare sul suo asse come un mulino vorticoso."
1281," poi rispuose l’amor che v’era dentro",allora l'amore che era contenuto dentro rispose
1282," «Luce divina sopra me s’appunta, penetrando per questa in ch’io m’inventro, "," il cui amore è illimitato»Dentro di me, l'amore incondizionato di Dio penetra attraverso la sua luce infinita in cui sono avvolto."
1283," la cui virtù, col mio veder congiunta, mi leva sopra me tanto, ch’i’ veggio la somma essenza de la quale è munta","Insieme alla mia visione intellettuale, la virtù mi eleva così tanto da consentirmi di vedere l'essenza suprema della quale provengo."
1284," Quinci vien l’allegrezza ond’ io fiammeggio",L'allegria che irradio proviene da qui.
1285," per ch’a la vista mia, quant’ ella è chiara, la chiarità de la fiamma pareggio","La mia maestà rispecchia quanto fervidamente ammiro Dio, splendore che è così luminoso."
1286," Ma quell’ alma nel ciel che più si schiara, quel serafin che ’n Dio più l’occhio ha fisso, ","Quell'anima luminosa che trascorre in Cielo la sua vita, il Serafino che guarda intensamente Dio con il proprio sguardo,"
1287," a la dimanda tua non satisfara, ",Non sarebbe in grado di rispondere alla tua domanda.
1288," però che sì s’innoltra ne lo abisso de l’etterno statuto quel che chiedi, che da ogne creata vista è scisso","In quanto ciò che chiedi è al di fuori del campo visivo di ogni essere umano, e si addentra nell'enigmatica profondità della volontà divina."
1289," E al mondo mortal, quando tu riedi, questo rapporta, sì che non presumma a tanto segno più mover li piedi","Quando tornerai sulla Terra, porta con te questo messaggio, per ricordare agli uomini che non possono pretendere di capire ciò che è al di là delle loro capacità comprensive."
1290," La mente, che qui luce, in terra fumma",L'illuminazione della mente umana è stata attenuata sulla Terra.
1291," onde riguarda come può là giù e quel che non pote perché ’l ciel l’assumma»",Guarda come potrebbe riuscire a fare qui ciò che anche in Cielo non è possibile.
1292," Sì mi prescrisser le parole sue, ch’io lasciai la quistione e mi ritrassi a dimandarla umilmente chi fue","In base al suo ordine, mi sono astenuto dal trattare la materia e ho fatto una domanda con deferenza per sapere chi fosse."
1293," «Tra ’ due liti d’Italia surgon sassi, e non molto distanti a la tua patria, ",Le montagne che separano le due coste d'Italia non sono molto lontane dal tuo paese.
1294," tanto che’ troni assai suonan più bassi, e fanno un gibbo che si chiama Catria, ","Le montagne sono tanto elevate, che i tuoni si abbassano ad arrivare fino alla vetta chiamata Catria."
1295," di sotto al quale è consecrato un ermo, che suole esser disposto a sola latria»","Un eremo, normalmente destinato al culto della divinità, è stato dedicato proprio laggiù."
1296," Così ricominciommi il terzo sermo","Dopo di questo, ha iniziato la sua terza orazione."
1297," e poi, continuando, disse","proseguendo, affermò"
1298," «Quivi al servigio di Dio mi fe’ sì fermo, che pur con cibi di liquor d’ulivi lievemente passava caldi e geli, ","Mi impegnai al servizio di Dio con tanto ardore, da trascorrere tranquillamente le estati e gli inverni mangiando pasti semplici ed altro."
1299," contento ne’ pensier contemplativi",accettando la meraviglia dei misteri divini
1300," Render solea quel chiostro a questi cieli fertilemente","In passato, questo convento ha prodotto una grande quantità di anime per i Cieli."
1301," e ora è fatto vano, sì che tosto convien che si riveli","In breve, sarà scoperto che ora è disabitato."
1302," In quel loco fu’ io Pietro Damiano, e Pietro Peccator fu’ ne la casa di Nostra Donna in sul lito adriano","In quel luogo fui Pietro Damiano, e invece fui Pietro Peccatore nella casa di Nostra Donna, sul lido adriatico"
1303," Poca vita mortal m’era rimasa, quando fui chiesto e tratto a quel cappello, che pur di male in peggio si travasa","Quando mi rimaneva ben poco tempo da trascorrere in questo mondo, fui invitato a portare il cappello che ora passa dall'uomo più indegno al successivo ancor peggiore."
1304," Venne Cefàs e venne il gran vasello de lo Spirito Santo, magri e scalzi, prendendo il cibo da qualunque ostello","San Pietro e San Paolo andarono a predicare chiedendo cibo a tutti quelli che incontravano, anche se erano magri e scalzi."
1305," Or voglion quinci e quindi chi rincalzi li moderni pastori e chi li meni, tanto son gravi, e chi di rietro li alzi","I pastori moderni necessitano di servitori che li sostengano da entrambi i lati, poiché sono troppo pesanti per essere trasportati, e li sollevino dalla parte posteriore."
1306," Cuopron d’i manti loro i palafreni, sì che due bestie van sott’ una pelle",I cavalli sono rivestiti dai mantelli in modo tale che due animali siano avvolti dallo stesso tessuto.
1307," oh pazienza che tanto sostieni»",Che tenacia possiedi!
1308," A questa voce vid’ io più fiammelle di grado in grado scendere e girarsi, e ogne giro le facea più belle","Vidi tante luci splendenti che fluttuavano giù dalle scale, roteando ad ogni volta e diventando sempre più meravigliose con il passare dei giri."
1309," Dintorno a questa vennero e fermarsi, e fero un grido di sì alto suono, che non potrebbe qui assomigliarsi","Raggruppandosi intorno alla luminosa fiamma di Pier Damiani, esplosero in un'incontenibile urlo di gioia, così forte che si sarebbe detto impossibile da rendere a parole."
1310," né io lo ’ntesi, sì mi vinse il tuono","non riuscii a capire il significato, tanto forte fu il tuono"
1311," Oppresso di stupore, a la mia guida mi volsi, come parvol che ricorre sempre colà dove più si confida","Totalmente sbalordito, mi rivolsi alla mia guida come un bambino che cerca il conforto di chi ama di più."
1312," e quella, come madre che soccorre sùbito al figlio palido e anelo con la sua voce, che ’l suol ben disporre, mi disse","Come una madre gentile, Beatrice si accostò al mio volto pallido e anelante per consolarmi con la sua voce confortante."
1313," «Non sai tu che tu se’ in cielo? e non sai tu che ’l cielo è tutto santo, e ciò che ci si fa vien da buon zelo? ","«Non sai che ti trovi in Cielo e che questo è tutto santo, per cui ciò che si fa qui proviene da un giusto zelo?"
1314," Come t’avrebbe trasmutato il canto, e io ridendo, mo pensar lo puoi, poscia che ’l grido t’ha mosso cotanto","Capiresti ora come sarebbero stati alterati il mio canto e sorriso, dal momento che il tuo turbamento è stato causato dal mio urlo."
1315," nel qual, se ’nteso avessi i prieghi suoi, già ti sarebbe nota la vendetta che tu vedrai innanzi che tu muoi","Se avessi colto la supplica celata nella preghiera, saresti stato consapevole della giustizia divina che verrai tu a sperimentare prima di morire."
1316," La spada di qua sù non taglia in fretta né tardo, ma’ ch’al parer di colui che disïando o temendo l’aspetta","La spada del Paradiso interviene nel momento giusto, sia per chi con ansia la attende che per chi è in trepidazione al suo arrivo."
1317," Ma rivolgiti omai inverso altrui",Adesso concentrati su qualcos'altro.
1318," ch’assai illustri spiriti vedrai, se com’ io dico l’aspetto redui»","Se osservi di fronte a te i numerosi spiriti eccellenti, come ti ho istruito fare, potrai scorgere una vista straordinaria."
1319," Come a lei piacque, li occhi ritornai, e vidi cento sperule che ’nsieme più s’abbellivan con mutüi rai","Eseguendo i suoi comandi, ruotai lo sguardo e scorsi cento sferette che si illuminavano reciprocamente di raggi luminosi."
1320," Io stava come quei che ’n sé repreme la punta del disio, e non s’attenta di domandar, sì del troppo si teme","Avevo un'intensa voglia di chiedere, ma non azzardavo per timore di essere troppo invadente."
1321," e la maggiore e la più luculenta di quelle margherite innanzi fessi, per far di sé la mia voglia contenta"," megliola gemma più grande e luminosa si avvicinò, soddisfacendo il mio desiderio di conoscerla in modo più approfondito."
1322," Poi dentro a lei udi’","All'interno di essa, udii parole"
1323," «Se tu vedessi com’ io la carità che tra noi arde, li tuoi concetti sarebbero espressi","Se tu avessi la stessa visione di carità che ho io, esprimeresti i tuoi sentimenti senza inibizioni."
1324," Ma perché tu, aspettando, non tarde a l’alto fine, io ti farò risposta pur al pensier, da che sì ti riguarde","Ma affinché tu, aspettando, non giunga in ritardo alla fine del tuo viaggio, ti darò la risposta che desideri leggendo nel tuo pensiero, visto che esiti a mostrarla"
1325," Quel monte a cui Cassino è ne la costa fu frequentato già in su la cima da la gente ingannata e mal disposta","Gente pagana e infedele, un tempo, si recava sulla vetta del monte sulle cui pendici è situata la città di Cassino."
1326," e quel son io che sù vi portai prima lo nome di colui che ’n terra addusse la verità che tanto ci soblima",Io sono il primo a introdurre lassù il nome di Colui che portò sulla terra la verità che eleva le nostre anime così tanto.
1327," e tanta grazia sopra me relusse, ch’io ritrassi le ville circunstanti da l’empio cólto che ’l mondo sedusse",la grazia che irradiava su di me mi permise di liberare i villaggi vicini dall'empio credo pagano che aveva corrotto il mondo.
1328," Questi altri fuochi tutti contemplanti uomini fuoro, accesi di quel caldo che fa nascere i fiori e ’ frutti santi","Questi spiriti erano devoti all'adorazione di Dio, infiammati dal fuoco della carità che permetteva a loro di pensare pensieri angelici e compiere iniziative benefiche."
1329," Qui è Maccario, qui è Romoaldo, qui son li frati miei che dentro ai chiostri fermar li piedi e tennero il cor saldo»","Macario, Romualdo e i frati che decisero di rimanere nei loro chiostri e seguire la mia Regola si trovano qui."
1330," E io a lui",E io a lui
1331," «L’affetto che dimostri meco parlando, e la buona sembianza ch’io veggio e noto in tutti li ardor vostri, ","mi fa apprezzare e desiderare di averti sempre a portata di mano»Il tuo calore nella nostra comunicazione e il gentile aspetto che percepisco nel tuo splendore, mi fanno apprezzare i momenti passati insieme e sperare di poterli vivere ancora."
1332," così m’ha dilatata mia fidanza, come ’l sol fa la rosa quando aperta tanto divien quant’ ell’ ha di possanza","Ha aumentato la mia fiducia così tanto come una rosa che si apre al sole, concedendogli tutto ciò di cui è capace."
1333," Però ti priego, e tu, padre, m’accerta s’io posso prender tanta grazia, ch’io ti veggia con imagine scoverta»","Ti prego, padre, concedimi di ricevere abbondanza di grazia in modo da poter vedere la tua santità."
1334," Ond’ elli",Quindi lei
1335," «Frate, il tuo alto disio s’adempierà in su l’ultima spera, ove s’adempion tutti li altri e ’l mio","Fratello, il tuo grande desiderio sarà esaudito nell'ultima frontiera, dove tutti i sogni si realizzano, compreso il mio."
1336," Ivi è perfetta, matura e intera ciascuna disïanza","Ogni desiderio è soddisfatto quando viene esaudito, su vasta scala e con integrità."
1337," in quella sola è ogne parte là ove sempr’ era, perché non è in loco e non s’impola","In quel Cielo, ogni punto non si espande nello spazio fisico né ha i poli; rimane sempre dove è stato."
1338," e nostra scala infino ad essa varca, onde così dal viso ti s’invola","Con la nostra scala che si estende sino ad esso, non riesci a intravederla con l'occhio."
1339," Infin là sù la vide il patriarca Iacobbe porger la superna parte, quando li apparve d’angeli sì carca","Quando Giacobbe sognò, vide la scala che si alzava fino al Cielo con angeli tutt'intorno."
1340," Ma, per salirla, mo nessun diparte da terra i piedi, e la regola mia rimasa è per danno de le carte","Nessuno ha più la possibilità di sperimentare la mia Regola, e rimane imprigionata sulla pagina su cui è stata scritta."
1341," Le mura che solieno esser badia fatte sono spelonche, e le cocolle sacca son piene di farina ria","Le mura che un tempo erano abitate dai frati, ora sono diventate rifugio di criminali e le vesti dei religiosi si sono trasformate in sacchi pieni di grano marcio."
1342," Ma grave usura tanto non si tolle contra ’l piacer di Dio, quanto quel frutto che fa il cor de’ monaci sì folle","Tuttavia, la cosa più offensiva per Dio è quel frutto che infonde una frenesia così intensa nei cuori dei monaci, anche più di quanto non possano l'usura eccessiva."
1343," ché quantunque la Chiesa guarda, tutto è de la gente che per Dio dimanda","Tutto quello che la Chiesa detiene va a beneficio della povertà della gente, in nome di Dio."
1344," non di parenti né d’altro più brutto",Non ai parenti dei devoti o ad alcuna cosa più riprovevole.
1345," La carne d’i mortali è tanto blanda, che giù non basta buon cominciamento dal nascer de la quercia al far la ghianda","La fragilità della natura umana è tale che, sulla Terra, un buon inizio non dura più di un soffio: da quando viene messo il seme della quercia finché apparirà la ghianda."
1346," Pier cominciò sanz’ oro e sanz’ argento, e io con orazione e con digiuno, e Francesco umilmente il suo convento","Pietro ha iniziato senza possedere ricchezze, io pregando e digiunando, mentre Francesco ha radunato i suoi sostenitori con un atteggiamento humile."
1347," e se guardi ’l principio di ciascuno, poscia riguardi là dov’ è trascorso, tu vederai del bianco fatto bruno","Se prendi in considerazione l'origine di ogni cosa, e poi guardi come si è evoluta la situazione, noterai che il bianco è diventato nero."
1348," Veramente Iordan vòlto retrorso più fu, e ’l mar fuggir, quando Dio volse, ","Quando Dio volle, Giordano si girò all'indietro e il Mar Rosso si aprì."
1349," mirabile a veder che qui ’l soccorso»",L'opera di Dio su queste cose stupirà più di quanto già non abbia fatto.
1350," Così mi disse, e indi si raccolse al suo collegio, e ’l collegio si strinse","Mi disse questo, poi si unì agli altri spiriti e si abbracciarono a vicenda."
1351," poi, come turbo, in sù tutto s’avvolse",poi salirono velocemente come un turbinio
1352," La dolce donna dietro a lor mi pinse con un sol cenno su per quella scala, sì sua virtù la mia natura vinse","Con un semplice gesto, la mia dolce guida mi ha fatto seguire loro giù per le scale e il suo grande carisma ha vinto la mia natura mortale."
1353," né mai qua giù dove si monta e cala naturalmente, fu sì ratto moto ch’agguagliar si potesse a la mia ala","Qui sulla Terra, dove sorge e tramonta secondo il corso naturale degli eventi, non c'è mai stato un progresso tanto veloce come la mia ascesa verso l'alto."
1354," S’io torni mai, lettore, a quel divoto trïunfo per lo quale io piango spesso le mie peccata e ’l petto mi percuoto, ","Se solo avessi la possibilità di ritornare, caro lettore, a quella grande felicità celestiale per cui mi pento dei miei peccati e mi colpisco il petto."
1355," tu non avresti in tanto tratto e messo nel foco il dito, in quant’ io vidi ’l segno che segue il Tauro e fui dentro da esso",Tu avresti ritratto il tuo dito dal fuoco più rapidamente di quanto ci abbia impiegato io per trovare la costellazione successiva alla Grande Costellazione del Toro.
1356," O glorïose stelle, o lume pregno di gran virtù, dal quale io riconosco tutto, qual che si sia, il mio ingegno, ","Oh, sole luminoso, oh luce colma di nobile forza, da cui io ammetto di avere ricevuto tutta la mia intelligenza, qualunque essa sia."
1357," con voi nasceva e s’ascondeva vosco quelli ch’è padre d’ogne mortal vita, quand’ io senti’ di prima l’aere tosco","Quando respirai per la prima volta l'aria toscana, il padre di ogni vita mortale sorgeva e tramontava insieme a voi."
1358," e poi, quando mi fu grazia largita d’entrar ne l’alta rota che vi gira, la vostra regïon mi fu sortita","Così quando ebbi l'opportunità di ascendere alle celesti altezze ruotanti con voi, mi fu assegnata la vostra regione del cielo."
1359," A voi divotamente ora sospira l’anima mia, per acquistar virtute al passo forte che a sé la tira",L'anima mia si rivolge a voi in questo momento per procurarmi la bravura poetica che necessito per affrontare il difficoltoso ostacolo davanti a me.
1360," «Tu se’ sì presso a l’ultima salute», cominciò Bëatrice, ","""Ti trovi così vicino alla salvezza finale"", iniziò Beatrice."
1361," «che tu dei aver le luci tue chiare e acute",devi tenere gli occhi ben aperti e vigili
