Original,Translate,Translate_GPT_1
"E disserle: «Madonna, san’ difesa","Und sie sagten, Madonna, ohne Verteidigung.","Sie riefen: ""Heilig, hilflos."""
Potete prender quanto il nostro vale:,"du kannst alles nehmen, was uns gehört","Sammeln Sie alles, was uns gehört."
"Chéd egli è vostro, sanza farne parte.","Denn er gehört dir, ohne ein Teil davon zu sein.","weil er dir gehört, ohne ein integraler Bestandteil davon zu sein."
"E sì ve ne doniàn già la sagina,","Und wenn wir dir die Tasche schon geben,",Wenn wir Ihnen schon die Tasche anbieten.
E sopra tutto vi vogliàn far carte».,Und vor allem wollen wir Ihnen Karten machen.,Auch möchten wir Sie besonders mit Geschenken glücklich machen.
"La Vechia, che sapea ben la dottrina,","Die Alte, die die Lehre gut kannte,","Der Ältere, der über die Lehre gut informiert war,"
"Ché molte volte avea studiato l’arte,","weil er viele Male Kunst studiert hatte,",Da er sich oft mit Kunst beschäftigt hatte.
"Gline marzìa molto, e gline ’nchina.",Sie war sehr verärgert und verbeugte sich.,"Sie war sehr wütend darüber, und sie verbeugte sich."
Falsenbiante a la Vechia sì à detto:,Falsenbiante sagte der Alten:,Falsifier rief dem Älteren zu:
"«Per Dio, gientil madonna preziosa,","Bei Gott, liebe Frau,","Beim Himmel, liebe, kostbare Dame,"
"Che senpre foste e siete pietosa,","dass du immer erbärmlich warst und bist,",dass du immer mitfühlend und barmherzig warst.
Che vo’  agiate merzé del buon valletto!,Mögen Sie Erbarmen mit dem guten Diener haben!,Mögest du Mitleid mit dem guten Diener zeigen!
Ch’e’ vi piaccia portarle un gioeletto,Dass du ihr gerne ein Juwel mitbringst,Dass du gerne ein Juwel gibst
Da la sua parte a quella graziosa,für seinen Teil zu dem hübschen,Von seiner Seite bis zum Schönen
"Bellacoglienza, che gli fu nascosa,","Schönheit, die vor ihm verborgen war,","Ein freundlicher Empfang, der vor ihm verborgen war."
De ch’egli à avuto il cuor molto distretto.,weil er ein sehr abgelenktes Herz hat.,denn er hat ein sehr abgelenktes Herz.
"Vedete qui fermagli, ch’e’ le manda,","Sehen Sie hier die Clips, die er ihnen schickt,","Sieh dir das Zubehör an, das er dir geschickt hat."
"E queste anella, e questi intrecciatoi,","Und diese Ringe und diese Verflechtungen,","und diese Ringe und diese Ränke,"
Ancora questa tranobil ghirlanda.,und auch diese edle Girlande.,Und diese illustre Krone auch.
Il fatto suo si tien tratutto a voi;,Ihm wird euch anvertraut.,Seine Aufgabe ist euch anvertraut.
Ciascun di noi  per sé ’l vi racomanda.,Jeder von uns empfiehlt es Ihnen.,Jeder von uns empfiehlt es Ihnen.
Del fatto vostro penserén ben noi».,"Wir denken, du hast recht.","Wir denken gut darüber nach, was du vorhast."
"La Vechia sì rispuose san’ tardare,",Die Alte antwortete ohne Verzögerung:,Die Alte antwortete schnell:
"Ché ’l male e ’l ben sapea, quantunque n’era:","Denn er kannte das Gute und das Böse, was es auch war.","Denn er kannte das Gute und das Böse, was es auch war."
"«Vo’ mi fate così dolze preghera,","Du machst mich zu einem süßen Gebet,","Du lässt mich so freundlich betteln,"
Ch’i’ no lo vi saprei giamai vietare.,Ich könnte dich nie ablehnen.,dass ich niemals ablehnen könnte
Questi gioelli i’ sì vo’ ben portare,Diese Juwelen will ich gut mitbringen,"Dieser Schmuck, den ich tragen möchte"
"E dargli nella più bella maniera,","und gebt sie ihm auf die schönste Weise,",und liefere sie auf die angenehmste Weise.
"Che io potrò; ma una lingua fiera,","auf daß ich nur eine hochmütige Zunge sein möge,","Darf ich, aber eine stolze Zunge."
"Che quaentr’è, mi fa molto dottare,","der hier ist, lässt mich viel leiden,","das hier existiert, mich tief leiden lässt,"
"Ecciò è Malabocca maldiciente,","Und dies ist böswillige Bosheit,",Das ist Malabocca-Verleumder.
"Che truova ognie dì nuovi misfatti,","daß jeder Tag neue Missetaten findet,",dass jeder Tag neue Missetaten entdeckt.
"Né non riguarda amico, né parente».",weder ein Freund noch ein Verwandter.,Er beobachtet weder einen Freund noch ein Consanguineum.
"«No ’l ridottate più giamai a’ fatti,",Bringen Sie ihn nie wieder ins Geschäft.,Beschränke es nie wieder auf Details.
"Ché noi sì•ll’abiàn morto, quel dolente,","Denn wir hätten ihn getötet, dieses Leid,","Weil wir ihn rausholen wollten, dieses Unheil."
Sanza ch’e’ ’n noi trovasse trieva o patti.,ohne daß er einen Aufschub oder eine Frist findet.,ohne daß er Erleichterung oder Bedingungen findet.
Ciertana mente noi gli abiàn seghata,Natürlich haben wir sie halbiert.,"Zweifellos, während wir ihn umhauen."
"La gola, e’ giacie morto nel fossato.",die Kehle und liegt tot im Graben.,"Der Kehlkopf, und es findet sich inert in der Schlucht."
"E’ nonn-à guari che noi l’abiàn gittato,","Es ist nicht lange her, dass wir ihn dorthin geworfen haben.","Es ist nicht lange her, dass wir ihn dorthin geschleudert haben."
E ’l Diavolo si n’à l’anima portata».,und der Teufel seine Seele wegnahm,"und dem Teufel, der von der Seele besessen ist"
La Vechia sì rispuose: «Or è amendata,"Die alte Frau antwortete: ""Jetzt ist es gelöst","""Die alte Frau antwortete: ""Jetzt ist alles geklärt."""
"Nostra bisognia, po’ ch’egli è sì andato.","unser Problem, weil er weg ist","Unser Dilemma, weil er weg ist."
"Cholui, chu’ vo’ m’avete acomandato,","Den du mir empfohlen hast,",Was du mir vorgeschlagen hast.
I’ metterò   in servirlo mia pensata.,Ich werde ihm mit all meinen Bemühungen dienen.,"Ich werde mich bemühen, ihm mit all meiner Hingabe zu dienen."
Dit’al valetto ch’i’ ne parleròe:,"Sag dem Diener, dass ich darüber rede.","Sagen Sie dem Diener, dass ich darüber rede."
"Quando vedrò   che ’l fatto sia ben giunto,","Und wenn ich sehe, dass es gut gemacht ist,","und wenn ich sehe, daß die Aufgabe erfüllt ist,"
I’ tutta sola a chieder sì•ll’andròe».,Ich gehe allein zu ihm und bitte um seine Hilfe.,"Ich werde persönlich zu ihm gehen, um um seine Unterstützung zu bitten."
"Allor si parte, ed ivi fecie punto,","Dann trennte er sich, und dort machte er einen Punkt,",Dann teilte er sich auf und setzte dort eine Grenze.
E tutti quanti a Dio gli acomandòe.,Und allen von ihnen lobte er Gott.,Und Gott hat ihm allen von ihnen einen Rat gegeben.
Molto mi parve che ’l fatto sie ’n punto.,"Es schien mir, dass dies getan wurde.","Es schien mir, dass die Aktion abgeschlossen war."
Dritta a la camera a la donna mia,"Direkt ins Zimmer und meine Frau,",Direkt ins Zimmer und meine Dame.
"N’andò   la Vechia, quanto può, trotando,","Die alte Frau ging sofort, so viel sie konnte, Trab","Die alte Frau ging schnell, so schnell sie konnte, galoppierte."
"E quella la trovò molto pensando,","und fanden sie sehr aufmerksam,",und sah sie sehr meditativ.
Come se fosse d’una voglia ria.,Als hätte er schlechte Laune.,Als hätte er schlechte Laune.
"Crucciosa so ch’era, ché non ridea.","Sie machte sich Sorgen, weil sie nicht lachte.","Sie war ängstlich, denn es gefiel ihr nicht."
"Sì tosto alor la va riconfor’ dando,","Sofort begann die alte Frau, sie zu trösten,","Sofort begann die ältere Frau, sie zu trösten."
"E disse: «Figluola mia,   io ti comando","und sprach: Meine Tochter, ich befehle dir.","Und er sprach: Sohn, ich befehle dir."
Che•ttu nonn-entri già in malinconia;,"daß ihr nicht in die Melancholie eintretet,",dass du nicht in Traurigkeit fallst
E ve’cciò che tu’ amico ti presenta».,"Und sehen Sie, hier ist Ihr Freund, der Sie vorstellt.","Und hier ist dein Freund, der dich vorstellt."
"Allor le mostra quelle gioielette,",Dann zeigt er ihr einen hübschen Schmuck.,Dann stellte er ihren schönen Schmuck aus.
Pregando   la c’a prenderl’aconsenta:,Bitte nehmen Sie sie mit.,"Ich bitte dich, erlaube mir, sie zu kaufen."
«Reguarda com’elle son belle e nette».,"Sieh mal, wie schön und sauber sie sind.","Prüfen Sie, wie wunderschön und makellos sie sind."
E quell’a domandar non fu già lenta,Und das war nicht langsam zu fragen.,"Und das war nicht zu spät, um zu fragen."
"Chi era colui, che gliele tramette.","Wer war er, der sie ihm übermittelt?",Wer hat sie an ihn weitergegeben?
"«Il bel valetto, di chu’ biasmo avesti","""Der schöne Diener, über den du dich beschwert hast,","Der reizende Diener, über den du dich beschwert hast,"
"Giadiss’èsi colui, che•lle ti manda","Er ist es, der ihn zu euch schickt,",Er ist der Autor der Sendung.
"E ’l rimanente, c’à, è a tua comanda.",und der Rest steht Ihnen zur Verfügung.,und der Rest steht Ihnen zur Verfügung.
Unquanche huon più cortese non vedesti:,"Du hast noch nie jemanden gesehen, der höflicher ist als er.",Du hast noch nie jemanden netter gesehen als ihn.
"E’ prieghati, se mai ben gli volesti,","Bitte, wenn du ihn jemals liebst,","Bitte, wenn du ihn jemals liebst, bitte, wenn du jemals Zuneigung zu ihm hast."
"Che, per l’amor di lui, questa ghirlanda","dass um seinetwillen du, dieser Kranz,","dass durch seine Zuneigung du, diese Krone,"
Degie portare; e’ sì sé racomanda,"dass du es bei dir trägst, und dass dir alles empfohlen wird",dass du sie bei dir trägst und dass sie dir alles anvertraut
Del tutto atte: gran peccato faresti,Du würdest dir selbst eine große Sünde antun.,Völlig für Sie: Sie würden einen schweren Fehler machen
Se ’l su’ presente tu gli rifusassi;,"Wenn ich ihm sein Geschenk verweigerte,",Wenn ich ihm sein Geschenk verleugne.
"Ch’i’ son ciertana ch’e’ si disperebbe,","Ich bin sicher, es würde ihm etwas ausmachen.","Ich bin sicher, es würde ihm leid tun."
Se•ttu così del tutto lo sfidassi;,"wenn du dich ihm so widersetzt,",Wenn du ihn so herausforderst...
"Ché quanto, ch’e’ potesse, e’ sì farebe","weil er alles tun würde, was er konnte,","Weil er alles tun würde, was möglich ist."
"Per te, e sofferria che•llo ’ngaggiassi,","für dich, und er würde dich ertragen, es zu verleugnen,","Für Sie, und er würde es tolerieren, dass Sie ihn ablehnen."
"E, se ’l vendessi, sì gli piacierebe».","Und wenn ich es verkauft hätte, würde es ihm gefallen.","Und wenn ich es aufgebe, würde es ihm gefallen."
"«Madonna, i’ dubito tanto Gielosia","""Madonna, ich bezweifle so viel Eifersucht,","Santa, ich habe starken Verdacht auf Neid,"
Ch’esto presente prender non osasse;,"dass ich es gewagt habe, dieses Geschenk nicht anzunehmen;","dass ich nicht den Mut hatte, dieses Geschenk anzunehmen."
Ché•sse domane ella mi domandasse:,"Denn wenn du mich morgen fragen würdest,",Wenn du mich morgen befragen würdest...
"“Chi ’l ti donò?”, io come le diria?».","Wer hat es dir gegeben?"" Wie sollte ich das beantworten?",Wie sollte ich das beantworten?
"«Risposta buona i’ non ti cieleria,",Ich werde dir eine gute Antwort geben.,Ich werde Ihnen eine richtige Antwort geben.
"Che, s’ogni’altra risposta ti falasse,","dass, wenn alle anderen Antworten scheitern,","Falls alle anderen Optionen nicht funktionierten,"
"Sì dì almen ched i’ la ti donasse,","Du sagst nur, er hat es dir gegeben.","Du sagst einfach, er hat es dir gegeben."
Ed i’ le dirò ben ch’e’ così sia».,"Und ich sage ihr, dass es so ist.","Und ich sage Ihnen, dass es das ist."
"Allor la Vechia la ghirlanda prese,","Dann nahm die alte Dame die Girlande,",Also packte die alte Dame das Guirland.
E ’n su le treccie bionde a la pulciella,"und unter den blonden Zöpfen des Mädchens,","Zwischen den goldenen Zöpfen des Mädchens,"
"La puose, e quella   guar’ non si contese.","Sie hat es gesagt, und sie hat nicht zu viel gewettet.","Kleidung, und sie hat nicht zu viel Einspruch erhoben."
"E po’ prese   lo spechio, e sì•ll’apella,",Dann nahm er den Spiegel und rief:,Er packte den Spiegel und rief ihn an.
"E disse: «Vien’ qua, figluola cortese,","und sagte: ""Komm her, liebe Tochter,","Und er sagte: ""Komm her, liebe Tochter,"
Riguardati se•ttu sè punto bella!».,"Sieh dich an, wenn du noch schön bist!""","Prüfen Sie sich selbst, wenn Sie noch attraktiv sind!"
Alor Bellacoglienza più non tarda:,Dann verzögert Bellacoglienza nicht mehr:,Daher verweilt der Empfang nicht mehr.
"In mantenente lo spechi’ebe in mano,","hält er den Spiegel in der Hand,",Er schnappt sich den Spiegel.
Si vide il viso suo umile   e piano;,Sein Gesicht ist demütig und einfach;,Er sieht sein bescheidenes und naives Gesicht.
Per molte volte nello spechio guarda.,Für viele Male im Spiegel-Look,"Untersuchen, untersuchen, beobachten"
"La Vechia, che ll’avea presa en sua guarda,","Die alte Frau, die sie zur Wache nahm,","Die alte Frau, die sie unter Schutz nahm,"
"Le giura e dicie: «Per lo Dio sovrano,","Er schwört ihr und sagt zu ihr: ""Bei dem souveränen Gott,","Er versichert ihnen und sagt zu ihnen: „Für den höchsten Souverän,"
"Ch’unquanche Isotta, l’amica Tristano,","dass Isott, Tristans Freund,","dass Isott, Tristans Freund,"
"Come tussè, figluola mia gientile.",wie du meine liebe Tochter bist.,wie du meine liebe Tochter bist.
"Or convien che•ttu abie il mi’ consiglio,",Jetzt haben Sie besser meinen Rat.,"Jetzt ist es an der Zeit, dass Sie meinen Vorschlag annehmen."
Che cader non potessi in luogo vile.,Nicht an einen abscheulichen Ort zu fallen.,Nicht in eine unwürdige Situation zu fallen.
"Se non sai guar’, i’ non mi maraviglio,","Wenn du nicht heilen kannst, bin ich nicht überrascht.","Wenn du nicht heilen kannst, bin ich nicht überrascht."
"Ché giovan uon non puot’esser sottile,","weil ein junger Mann nicht listig sein kann,",Weil ein junger Mann nicht weise sein kann.
"Chéd i’, quanto più vivo, più asottiglio.","Je mehr ich lebe, desto mehr schärfe ich.","Da ich, je mehr ich praktiziere, desto schärfer werde ich."
"Figluola mia, cortese ed insegniata,","Meine Tochter, zuvorkommend und gebildet,","Meine Tochter, freundlich und gebildet."
La tua gran gioia si è ancor a venire.,Deine große Freude wird noch kommen.,Dein großer Jubel ist noch nicht da.
"Or me convien me piangier e languire,","Jetzt weine ich lieber und weine,",Jetzt beschwere ich mich besser und leide.
"Chélla mia sì se n’è tutta passata,","Denn meins ist vorbei,",Denn meins ist vorbei.
"Né non fie mai per me più ritrovata,","und wird nie wieder für mich gefunden werden,","und wird nie wieder für mich gefunden werden,"
Chéd ella mi giurò di non reddire.,"Weil er geschworen hat, nicht zurückzukommen.","weil er mir feierlich versprochen hat, nicht zurückzukehren."
"Or n’ò ’n consigliar te, che dé’ sentire","Jetzt habe ich einen Rat, auf den du hören kannst.","Jetzt habe ich einen Vorschlag für Sie, den Sie in Betracht ziehen müssen."
"Il caldo del brandone, che sie avisata","die Wärme der Leidenschaft, zu warnen","Die Hitze des Brandes, zu informieren"
Che non faciessi sì come fec’io:,"Tu nicht, was ich getan habe.",Vermeiden Sie meine Handlungen zu replizieren
"De ch’i’   son trista, quand’e’ men rimenbra","von denen ich traurig bin, wenn ich mich erinnere","an wen ich geplagt bin, wenn ich mich erinnere"
Ch’i’   non posso tornare a lavorio.,Ich kann nicht zurück an die Arbeit.,Ich kann den Dienst nicht wieder aufnehmen.
Per ch’i’ te dico ben ched e’ mi senbra.,"Ich sage Ihnen also, es scheint mir fair zu sein:","Deshalb sage ich Ihnen, dass dies mir angemessen erscheint."
"Settu creder vorà’ ’l consiglio mio,","Wenn du meinem Rat glauben willst,","Wenn Sie meinen Vorschlag annehmen wollen,"
"Tu sì non perderai aver, né menbra.",Ihr werdet weder Reichtum noch Ruhm verlieren.,Ihr werdet weder das Wohlergehen noch die Bekanntheit verlieren.
Se del giuoco d’amor i’ fosse essuta,Wenn Sie ein Experte im Spiel der Liebe waren,Wenn du ein Experte für Liebeskunst wärst...
"Ben sagia, quand’i’ era giovanella,","Ich wusste es gut, als ich jung war,","Ich wusste es genau, als ich ein Teenager war."
"I’ sare’ richa più che damigiella,",Ich wäre reicher gewesen als eine Brautjungfer.,Ich wäre reicher gewesen als eine Prinzessin.
"O donna, chettu agie ogi veduta:","oder eine Frau, die du je gesehen hast,","O Frau, die du je gesehen hast,"
Ch’i’ fu’ sì trapiaciente in mia venuta,"weil ich so fesselnd war, als ich ankam","Weil ich so attraktiv war, als ich ankam."
Che per tutto corea la novella,dass auf der ganzen Welt die Nachrichten,dass auf der ganzen Welt Geschichte
"Com’i’ era cortese, e giente, e bella.","wie freundlich, freundlich und schön ich war.","wie höflich, freundlich und attraktiv ich war."
"Macciò mi pesa, ch’i’ non fu’ saputa.","Aber es wiegt mich, dass ich es nicht wusste.","Ich bedauere, dass ich nicht die Fähigkeit hatte."
"Or s’i’ mi doglio, quand’i’ mi rimiro","Jetzt beschwere ich mich, wenn ich mich selbst ansehe","Ich bereue es, wenn ich mich selbst ansehe"
"Dentro a lo spechio, ed i’ vego invechiarmi,","im Spiegel und ich sehe mich alt werden,","Im Spiegel sehe ich, wie ich alt werde."
Molto nel mi’ cuore me n’adiro.,Ich werde sehr wütend in meinem Herzen.,Ich bin tief in meiner Seele wütend.
"Ver è ched i’ di ciò non posso atarmi,","Es stimmt, dass ich nichts dagegen tun kann.","Es ist unbestreitbar, dass es nichts zu tun gibt."
"Sì che per molte volte ne sospiro,",Und so seufze ich viele Male,und so für viele Male ansimo
Quand’i’ vegio biltate abandonarmi.,"Wenn ich sehe, dass meine Schönheit mich verlässt.","Wenn ich sehe, dass meine Pracht verschwindet."
"Per tutto ’l mondo i’ era ricordata,",Auf der ganzen Welt erinnerte man sich an mich.,Ich war auf der ganzen Welt berühmt.
"Com’io t’ò detto, de la mia  bieltate,","wie ich dir gesagt habe, zu meiner Schönheit,","Wie ich dir erklärt habe, für mein Glück,"
E molte zuffe ne fur cominciate,und viele Streitereien begonnen wurden,und zahlreiche Streitigkeiten wurden eingeleitet
E molte gienti alcun’ora piagata;,Und viele Menschen wurden verletzt.,Und viele Menschen sind verletzt worden.
"Ché que’, che mi crede’ aver più legata,","Für diejenigen, die glauben, dass sie mich gebunden haben","Weil diejenigen, die dachten, sie hätten mich gefesselt"
Assa’ mostrav’i’ più di duritate:,Ich zeigte ihnen mehr Härte:,Ich habe ihnen größere Strenge gezeigt.
"Le mie promesse gli venian fallate,","Meine Verheißungen sind nicht wahr geworden,","Meine Verheißungen sind nicht erfüllt,"
C’altre persone m’avieno inarrata.,weil andere Leute mich betrogen hatten.,Weil andere Leute mich turbulent hatten.
Per molte volte m’era l’uscio rotto,Für viele Male war meine Tür gebrochen,Viele Male wurde meine Tür beschädigt.
"E tentennato, quand’io mi dormia;","und verachtete, als ich schlief,","und entwurzelt, als ich schlief."
"Ma già per ciò io non faciea lor motto,","aber ich habe nichts getan, weil","aber ich habe nichts getan, weil"
"Perciò ched i’ avea altra conpagnia,",So dass ich andere Gesellschaft hatte,Also hatte ich eine andere Firma.
"A chui intender faciea, che ’l su’ disdotto","Ich ließ ihn glauben, dass sein Vergnügen","Ich ließ ihn glauben, dass sein Wohlbefinden"
"Mi piaciea più che null’altro, ch’e’•ssia.",Ich mochte ihn mehr als alles andere.,Ich war aufgeregter als alles andere.
"I’ era bella, e giovane, e folletta,","Ich war schön, jung und scherzend.","Ich war attraktiv, jugendlich und lustig."
Ma non era a la scuola de l’Amore,Aber er war nicht in der Schule der Liebe.,Aber er war nicht in der Schule der Zuneigung
Istata; ma i’ so or ben per cuore,Es war; aber jetzt weiß ich auswendig,Es war; aber jetzt weiß ich es auswendig.
"La pratica, la qual ti fie qui detta.","die Praxis, die hier beschrieben werden soll.","Die Übung, die hier gezeigt wird."
"Usanza me n’à fatta sì savietta,","Der Brauch hat mich so erfahren gemacht,",Die Gewohnheit hat mich so erfahren gemacht.
"Ched i’ non dotterei nessun lettore,","daß ich keinen Leser täuschen konnte,",Ich konnte keine Leser betrügen.
"Che di ciò mi faciesse desinore,","daß er mir darüber ein schlechtes Urteil fällen würde,",dass er mir eine schlechte Meinung darüber gab.
Ma’ ched i’ fosse bella e giovanetta:,Aber weil ich schön und jung war.,Aber weil ich attraktiv und jung war.
"Chéd egli è tanto ched i’ non finai,","Denn was ich getan habe, ist so viel,","Denn was ich getan habe, ist so toll."
Che•lla scienza i’ ò nel mi’ coragio.,Dieses Wissen oder in meinem Mut.,das Lernen oder in meiner Kühnheit.
"Sed e’ ti piacie, tu l’ascholterai,","Aber wenn es dir gefällt, hörst du es dir an.","Wenn es dir gefällt, hörst du es dir an."
Ma i’ no•l’ebi sanza gran damagio:,aber ich hätte es nicht ohne großen Schaden erhalten.,Aber ich hätte es nicht ohne großes Opfer erhalten.
Molta pen’ e travaglio vi durai;,Ich habe viel gelitten und viel gearbeitet.,Ich habe intensiv gelitten und hart gearbeitet.
"Ma pur e ’l mal se n’è mess’, e l’usagio.",Aber jetzt ist das Böse vergangen und ich habe Erfahrung gesammelt.,Doch jetzt ist der Schmerz verschwunden und ich habe Weisheit erlangt.
"Molti buon’ uomini i’ ò già ’nghannati,","Ich habe viele gute Männer betrogen,",Ich habe viele Gentlemen reingelegt.
"Quand’i’ gli tenni ne mie’ lacci presi,","Als ich sie in meinen Schnürsenkeln hielt,",Als ich sie in meinen Krawatten gefangen hielt.
Ma prima fu’ ’ngannata tanti mesi,"Aber bevor ich so viele Monate getäuscht wurde,",Aber davor war ich für so viele Monate verblendet.
Che ’ più de’ mie’ sollazi eran passati.,dass meine Freuden schon vorbei waren.,dass meine Vergnügungen schon vergangen waren.
Cientomilia cotanti e’ barattati,Hunderttausend von ihnen haben getauscht.,Ich habe hunderttausende von ihnen ausgetauscht.
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","Ich würde, wenn ich sie rechtzeitig genommen hätte;","Das würde ich, wenn ich sie schnell erworben hätte."
"E conti, e cavalieri, e gran borgesi,","und Grafen, Ritter und Großbürger,","und Grafen, edler und reicher Bourgeois,"
Ch’e’ molti fiorin d’oro m’avrian dati.,Das würde mir viele goldene Florinen geben.,Das würde mir eine Menge Gold-Florins geben.
"Ma, quand’i’ me n’avidi, egli era tardi,","Aber als ich es sah, war es zu spät.","Als ich merkte, war es schon zu spät."
"Chéd i’ era già fuor di Giovaneza,",weil ich schon aus meiner Jugend heraus war,weil ich schon vor der Jugend war
"Ed eranmi falliti i dolzi isguardi,","und mein süßes Aussehen versagt hatte,",Und meine zarten Augen waren leer geworden.
Perché ’n sua balia mi tenea Vechieza.,Für das Alter hielt mich in seiner Macht.,weil meine Reife mich unter seiner Kontrolle hielt.
"Or convien, figluola mia, che tu ti guardi,","Es passt jetzt, meine Tochter, dass du dich um dich kümmerst,","Es ist jetzt passend, meine Liebe, dass du dich um dich selbst kümmerst."
Chettu non ti conduchi a tale streza.,dass Sie nicht zu einer solchen Situation führen.,Dass du dich nicht so benimmst.
"Molto mi dolea   il cuor, quand’i’ vedea","Mein Herz tut sehr weh, als ich sah","Mein Herz litt tief, als ich zusah"
"Chell’uscio mio stava in tal sogiorno,","dass meine Tür an einem solchen Ort war,",dass meine Tür an einem Ort wie diesem war.
Ch’e’ vi solea   aver tal pressa ’ntorno,das war so voll um sie herum,das war so voll um sie herum
Che tutta la contrada ne dolea.,dass das ganze Gebiet darunter gelitten hat.,dass die gesamte Region negativ ist.
"Ma, quanto a me, e’ no•me ne calea,","Aber was mich betrifft, war es mir egal.",Aber es war mir egal.
"Ché troppo più piaciea   loro quel torno,","denn das war ihnen zu angenehm,","denn das war ihnen zu angenehm,"
"Ch’i’ era allora di sì grande attorno,","dass ich damals so groß war,",dass ich dann so riesig war.
Che tutto quanto il mondo mi’ parea.,dass mir die ganze Welt erschien.,dass mir das ganze Universum erschien.
"Or convenia che di dolor morisse,","Jetzt ist es besser, wenn er an Schmerzen starb,","Jetzt ist es passend für mich, vor Traurigkeit zu sterben."
"Quand’i’ vedea   que’ giovani passare,","Als ich sah, wie diese jungen Männer vorbeigingen,","Als ich zusah, wie diese Kinder vorbeigingen,"
E ciaschedun parea   che mi schernisse.,Und alle schienen mich zu verspotten.,Und alle schienen über mich zu lachen.
“Vechia increspata” mi faciean chiamare,"""Alte Wellen"" nannten sie mich","""Gefälschte alte Dame"" riefen sie mich an."
"A colu’ solamente, che giadisse","Für ihn allein, der einst","Für wen nur, dass einmal"
Più carnalmente mi solea   amare.,Er liebte mich mehr fleischlich.,Er liebte mich sinnlicher.
Ancora d’altra parte cuore humano,"Auf der anderen Seite, das menschliche Herz","Aus einer anderen Perspektive, das menschliche Herz"
"Non penserebe il gran dolor, ch’i’ sento,","Er würde den großen Schmerz, den ich fühle, nicht denken.","Du würdest dir die tiefe Traurigkeit, die ich empfinde, nicht vorstellen."
Tratutte l’ore ch’i’ ò pensamento,"Von all den Stunden, an die ich gedacht habe.","Von all den Momenten, über die ich meditiert habe"
"De’ be’ basciar’, che m’ànno dato mano.","Die schönen Küsse, die sie mir gegeben haben.","Auf die süßen Küsse, die sie mir gegeben haben."
"Ogni’ Sollazo m’è ogi lontano,","Jedes Vergnügen ist jetzt weit weg von mir,","Jeder Spaß ist jetzt fern von mir,"
Ma non Ira e Dolori e Gran-Tormento:,aber nicht Zorn und Schmerz und große Pein.,aber nicht Empörung und Leid und große Qual
Costor si ànno fatto saramento,Diese haben einen Eid abgelegt.,Sie haben ein feierliches Versprechen gegeben.
Ch’i’ non uscirò lor mai di tra mano.,Dass ich ihnen nie aus den Händen komme.,Dass ich ihren Klauen nie entfliehen werde.
"Or puo’ veder com’i’ son arivata,","Jetzt kannst du sehen, wie ich hierher gekommen bin.","Jetzt kannst du sehen, wie ich hierher gekommen bin,"
"Né al mi’ mal nonn-à altra cagione,","Und mein Böses hat keine andere Ursache,",Mein Leiden hat keinen anderen Ursprung.
Se non ched i’ fu’ troppo tosto nata.,"Wenn nicht die Tatsache, dass ich zu früh geboren wurde.","Wenn nicht die Tatsache, dass ich zu früh in die Welt kam."
Ma sapie ched io ò ferma intenzione,"Aber wissen Sie, dass ich eine feste Absicht habe","Aber wissen Sie, dass ich entschlossen bin, dies zu tun."
"Ch’i’ sarò anchor per te vendicata,",Dass ich mich auch für dich rächen werde,Dass ich auch für dich gerechtfertigt werde
Settu ben riterrai la mia lezione.,Wenn du meine Lektion gut ansiehst.,Wenn du meine Lektion genau untersuchst.
Non ne pos’altrementi far vengianza,Ich kann nichts gegen Rache tun.,Ich kann nicht anders als Rache.
"Se non per insegniarti mia dottrina,","Wenn ich dir meine Lehre nicht lehre,",Wenn ich dir meine Philosophie nicht beibringe.
Perciò che•llo me’ cor sì m’indovina,Weil mein Herz mich erraten hat,Weil mein Herz mich spürt
Chettu darai lor ancor gran micianza,"daß du ihnen noch eine große Niederlage verleihst,",Dass du ihnen eine weitere große Niederlage zufügen wirst.
"A que’ ribaldi, che tanta viltanza","Den Lästerern, die so viele Beleidigungen begehen","An die Dissidenten, die so viele Vergehen begangen hatten"
Me dicieano da sera e da mattina.,Sie sagten zu mir am Abend und am Morgen,Sie rieten mir am Abend und am Morgen.
"Tutti gli meterai anche a la china,",Du legst sie auch alle hin.,"Du legst sie hin, du legst sie hin, du legst sie hin."
Se•ttu sa’ ben tener la tua bilanza.,"Wenn Sie wissen, wie Sie Ihre Waage zu halten.",Wenn du mit deiner Waage zurechtkommst.
"Ché sie ciertana, s’i’ fosse dell’agio,","Um sicher zu sein, wenn ich könnte,","Um absolut zu sein, wenn ich könnte,"
"Figluola mia, che tu•ssè or presente,","Meine Tochter, die du jetzt hier bist,","Meine Tochter, mögest du jetzt anwesend sein,"
"Ch’i’ gli pagherè’ ben di lor oltragio,","Ich würde sie gut für ihre Empörung bezahlen,",Ich würde sie großzügig für ihr Vergehen bezahlen.
"Sì che ciascuno farè’ star dolente,","so daß jeder wund ist,",auf daß jeder betrübt werde.
"Già tanto non sareb’e’ pro’ né sagio,","Und so wäre es weder klug noch weise,",Schon jetzt wäre er weder weise noch weise.
Ched i’ non ne faciesse pan-chiedente.,Dass ich ihn nicht zu einem Taschentuch gemacht habe.,Dass ich nicht gebettelt habe.
"In gran povèrta tutti gli metesse,","Ich würde sie alle in große Armut bringen,",Ich würde sie in großes Elend versetzen.
