Originale,Traduzione EN
"Co•le lor man, se•llo Scritto non erra.","with their hands, if the Scripture does not lie."
Co' buon' mastri divin' ne feci guerra,I fought over this with the good masters of theology 
Perché questo sermone predicaro,because they preached this sermon 
"Al popolo a Parigi, e sì 'l provaro,",to the people of Paris and backed it up with proof:
C[h]'uon ch'è truante col diavol s'afer,that the man who lives on alms is in the devil’s clutches.
a.,"Moreover, after Jesus returned to heaven, "
"Ancor, po' che Gesù si tornò in cielo,",Saint Paul exhorted his companions 
San Paolo predicava i compagnoni,not to profit from the Gospel.
Ched e' sì non vendes[s]er lo Guagnelo:,"And so, without reward, they preached their sermons; "
Sì che di grazia fecer lor sermoni;,"they lived from their work, and this I don’t conceal from you, "
"Di lor lavor vivien, già no'l vi celo,",without building castles or palaces.”
Sanza fondar castella né magioni.,
“Ver è ch'e' ci à persone ispezïali,“It’s true that there are certain people 
"Che van cherendo lor vita per Dio,","who go begging for food in the name of God, "
Per ch'i' vi dico ben c[h]'al parer mio,"for which I say to you that, in my opinion, "
Egli è mercé far bene a que' cotali.,to do good for these people is a meritorious act.
Di questi sono alquanti bestïali,Of these some are quite ignorant 
"Che non ànno iscïenza in lavorio,","and have no concept of work, "
"Ed altri v'à che l'ànno, ma è rio","and there are others who do have it, but times "
"Il tempo, e' lor guadagni sì son frali.","are bad, and their earnings are very small."
"À 'ncor di gentil gente discacciata,","Some are exiled noblemen, "
"Che non son costumati a lavorare,","who are unaccustomed to working, "
Ma son vi[v]uti sol di lor entrata.,living solely from their revenues.
"A cotà' genti dé ciascun donare,","Everyone must contribute to people such as these, "
"Ché lor limosina è bene impiegata,","for the alms they give are well employed, "
Sì è mercé atarli governare.,it is merciful to help them get by.”
"“Ad alcun altro che•ffa lavoraggio,",“Some people work at odd jobs 
"Ma ben sua vita trar non ne poria,",but could not survive from these alone; 
Sì gli consente Idio ben truandia,thus God allows them to beg 
Per quel che gli fallisce al su' managgio.,for that missing portion of their household needs.
Od altro pover c[h]'avesse corag[g]io,Another poor man would like 
"Di volere studiar in chericia,","to study for the priesthood, "
Gran merced'è a farli cortesia,and it is a meritorious act to be generous towards him 
Insin ch'e' sia de la scïenza sag[g]io.,until he is done with his studies.
E se 'n cavalleria alcun volesse,And if someone would desire to learn chivalric skills 
"Intender, per la fede ","in order to elevate himself and promote the faith, "
" sé alzare,","he would not be wrong to beg,"
Non fallerïa già sed e' chiedesse,until he could amass a goodly sum 
"Infin ch'e' sé potesse ben montare,",and have the necessary capital with which 
E avere spezierïa ch'e' potesse,to travel to the land beyond the sea.”
Condursi nella terra d'oltremare”.,
"“Dì, Falsembiante: in che maniera puote","“Tell me, False Seeming: in what way can a man "
"Seguire Idio chi à tutto venduto,","follow God, who has sold everything "
"Ed àllo tutto a' pover' dispenduto,","and given it to the poor, "
"E le sue borse son rimase vote,","and whose purse remains empty,"
Ed è forte e possente e à grosse gote?,and who is strong and vigorous and has fleshy cheeks? 
Gli sarebbe per dritto conceduto,Would it be right to allow him 
"C[h]'a trar sua vita domandasse aiuto,","to beg in order to survive, "
Come quest'altri che•ttu or mi note?”.,just like the others whom you’ve listed for me now?”
“Dico di no: che se Dio fe' comando,“The answer is no; because when God ordered 
"C[h]'on desse tutto a' poveri, e po' 'L sieva,","that one should give everything to the poor, and then follow Him, "
"La Sua 'ntenzion non fu in truandando,",His intention was not concerned with begging for alms
"E questo intendimento ti ne lieva,",- and get this opinion out of your head ­
"Ma con buon'opre tuttor lavorando,","but rather with working always toward good ends, "
C[h]'uon forte in truandar l'anima grieva.,for a strong man who begs weighs down his soul.”
“Ancor una crudel costuma ab[b]iamo:,“We still have a cruel custom: 
Contra cui no' prendiamo a nimista,"in truth, all of us act"
"e,",against the person we hate 
"Quanti no' siamo, in buona verita",by contriving to ruin his reputation;
"e,","and if, by chance, we learn "
In difamarlo noi ci asottigliamo;,"how he may come to an exalted post, "
E se per aventura noi sap[p]iamo,in secret we plan to cut him off 
Com'e' possa venire a dignita,and cast him off the road.
"e,",And this we do so secretly 
Nascosamente noi facciàn taglia,that he’ll not know who made him lose it 
"e,",until he has been cast out.
Sì che di quella via noi 'l ne gittiamo.,"For if he had known it from the start, "
E ciò facciamo noi sì tracelato,"perhaps he would have found a way to protect himself, "
Ch'e' non saprà per cui l'avrà perduto,and thus I would be considered a liar.”
Infin ch'e' non ne fia di fuor gittato.,
"Che s'e' l'aves[s]e da prima saputo,",
"Per aventura e' si saria scusato,",
Sì ch'i' ne saria menzonier tenuto”.,
"“Cotesta mi par gran dislealtate”,","“This seems to me to be a great treachery,”"
"Rispose Amore, “Or non credi tu 'n Cristo?”.",answered Love. “Do you not believe in Christ?”
"“I' non, chéd e' sarà pover e tristo","“Not I, for the one who lives for loyalty "
Colù' che viverà di lealta,will be poor and sad.
e:,I certainly don’t want that mockery for myself; 
"Sì ch'io non vo' per me quelle ghignate,","but I continue to accumulate wealth in any way possible, "
"Ma, come ched i' possa, i' pur a[c]quisto,",because no one thinks well 
Ché da nessun nonn-è volontier visto,of the person who’s faithful to poverty;
"Colui che man terrà di povertate,","rather, everyone keeps him far away and chases him off. "
Anzi l'alunga ciascuno ed incaccia;,He has no friend or relative 
Già no•lli fia sì amico né parente,who would look him gladly in the face.
Ch[ed] egli il veg[g]a volontieri in faccia:,"Even though I may not please Christ on this account, "
"Sì ch'i' vogl[i]'anzi c[h]'on mi sia ubidente,",I prefer that people be obedient to me 
"Come ch[ed] io a Cristo ne dispiaccia,",and not be servants to others.”
Ched es[s]er in servag[g]io della gente.,
"“Vedete che danari ànno usorieri,","“See how much money the usurers, "
Siniscalchi e provosti e ,"seneschals, provosts and mayors have! "
"ori,","All of them are big swindlers, "
Che tutti quanti son gran piatitori,and they are very proud and fierce.
E sì son argogliosi molto e fieri.,"Moreover, all of the bourgeoisie, to the detriment of the "
Ancor borghesi sopra i cavalieri,"knights, "
Son og[g]i tutti quanti venditori,now sell their own goods 
"Di lor derrate e aterminatori,","at inflated prices and on credit,"
Sì ch'ogne gentil uon farà panieri.,so that every nobleman will be robbed.
E' conviene ch'e' vendan casa o terra,They must sell their house and land 
"Infinché i borghesi siar pagati,","so that the bourgeoisie can be paid, "
Che giorno e notte gli tegnono in serra.,they who day and night keep the nobles in tight straits.
"Ma io, che porto panni devisati,","But I, who clothe myself in various garbs, "
"Fo creder lor che ciascheun sì erra,","make each of them believe the other’s wrong, "
E 'nganno ingannatori e ingannati.,and I deceive both the deceivers and the deceived.”
"“Chi se 'n vuol adirar, sì se n'adiri,","“Whoever wishes to get mad, let him get mad, "
"Chéd i' vi pur conterò ogne mio fatto,","because I’ll tell you about all my deeds, "
"S'i' dovess' es[s]er istrutto intrafatto,",even if I should be immediately destroyed 
"O morto a torto com' furo i martìri,","or unjustly killed just as the martyrs were,"
O discacciato come fu 'l buon siri,or persecuted just like the good lord 
Guiglielmo che di Santo Amor fu stratto:,William who was a native of St. Amour.
"Così 'l conciò la mogl[i]e di Baratto,","In this way the wife of Deceit fixed his hash, "
Però ch'e' mi rompea tutti mie' giri.,because he was ruining all my deceptive plans.
"Chéd e' sì fu per lei sì discacciato,","For William was so persecuted by her, "
"E sol per verità ch'e' sostenea,","and only for the truth that he maintained, "
Ched e' fu del reame isbandeg[g]iato.,that he was banished from the realm.
"De mia vita fe' libro, e sì leg[g]ea","Of my life he wrote a book, and he taught "
Ch'e' non volea ch'i' gisse mendicato:,that he did not want me to go begging alms:
Verso mia madre troppo misprendea!,towards my mother he committed a grievous error!”
“Questo buonuon volea ch'i' rinegasse,“This good man wanted me to renounce 
"Mendichità e gisse lavorando,","begging and to go to work, "
S'i' non avea che mia vita passando,if I did not have the means to support myself 
"Potesse, sanza c[h]'altro domandasse.",without asking for more.
A quel consiglio mai no•m'acordasse:,I would never agree to that advice: 
Tropp'è gran noia l'andar travagliando.,working is too much of an annoyance!
Megli'amo star davante adorando,I prefer to keep on begging 
Ched i' a lavorar m'afaticasse.,than to tire myself out by working.
"Ché 'l lavorar sì no•mi può piacere,","For I cannot enjoy working, "
"Néd a•cciò consentir no•mi poria,","nor could I agree to do this, "
Ché molte volte fallarei in dolere.,for I would often faint from pain.
Più amo il manto di papalardia,"I prefer to wear hypocrisy’s mantle, "
"Portar, perciò ch'egl[i] è mag[g]ior savere,","because it’s the wiser thing to do, "
Ché di lui cuopr'io mia gran rinaldia.,for with it I’m able to cover up my fox-like manner.”
"“I' sì nonn-ò più cura d'ermitag[g]i,","“I no longer care for hermitages, "
"Né di star in diserti né 'n foresta,","or to live in deserts and in forests, "
Ch'e' vi cade sovente la tempesta:,where storms often occur: 
Sì chito a•ssan Giovanni que' boscag[g]i!,"thus, I leave these wild places to Saint John!"
In cittadi e 'n castella fo mie' stag[g]i,"I make my humble home in cities and in castles, "
Mostrando ched i' faccia vita agresta;,making it appear that I lead a harsh life; 
"Ma s'alla villa buon morsel s'aresta,","but if some tasty morsel is found in the town, "
E' pur convien per forza ch'i' n'asag[g]i.,then I must taste it for sure.
"E vo dicendo ch'i' vo fuor del mondo,","And I say how far removed I am from worldly things, "
Per ch'i' mi giuochi in sale e in pala,although I amuse myself in elegant rooms and palaces; 
i;,"indeed, to tell the truth, I am completely immersed in the world."
"Ma chi vuol dire vero, i' mi v'afondo.","If I can find a way to have great comforts, "
"S'i' posso trovar via d'aver grand'agi,",now you can be sure that I’ll not hide
Or siate certo ch'i' no•mi nascondo,[ . . ]
[..................................................-agi].,
"“Ancor sì m'intrametto in far mogliaz[z]o,","“Moreover, I engage myself in arranging marriages, "
"Altr'or fo paci, altr'or sì son sensale;","sometimes I am a peacemaker, other times an agent; "
"Manovaldo mi fo, ma quel cotale","I become an administrator, but whoever "
"Che mi vi mette, l'ab[b]iate per paz[z]o,","has me do that, you should consider him crazy,"
"Ché de' suo' beni i' fo torre e palaz[z]o,","for from his properties I gain towers and palaces, "
"O ver be' dormitori o belle sale,","or beautiful bedrooms and lovely halls, "
"Sì che, s'egli à figl[i]uol, poco gli vale","so that, if he has a son, little good his father’s properties "
"I ben' del padre, sì 'l te ne rispaz[z]o.","will do him, because I sweep them all away."
E se voi aveste nulla cosa a fare,And if you were to cook up a business deal 
"Intorno di colui con ch'i' riparo,","with one of my associates, "
"Diràllami, faròlla capitare;","he’ll tell me, and I’ll make it happen;"
Ma non convien mostrar ch'e' vi si' amaro,but you don’t have to show your displeasure 
"A largamente sapermi donare,","over having to pay me generously, "
Ché 'l mi' servigio i' 'l vendo molto caro.,for I sell my service at a very high price.”
"“I' sì son de' valletti d'Antecristo,","“I’m one of the servants of Antichrist, "
Di quel' ladron' che dice la Scrittura,"one of those thieves who, according to the Bible,"
"Che fanno molto santa portatura,","have a very saintly appearance, "
E ciaschedun di loro è ipocristo.,and each one of them is a hypocrite.
"Agnol pietoso par quand'uon l'à visto,","To those who see him, he seems a pious lamb, "
Di fora sì fa dolze portatura;,so mild is his external appearance; 
"Ma egli è dentro lupo per natura,","but inside he is a wolf by nature, "
Che divora la gente Gesocristo.,who devours the people of Jesus Christ.
"Così ab[b]iamo impreso mare e terra,","In this way we have conquered land and sea, "
E sì facciàn per tutto ordinamento:,and thus we give orders throughout the world: 
"Chi no•l'oserva, di[ci]à","those who do not follow our rules, we say they stray from the faith."
 c[h]'a fede erra.,With our treachery we do so much 
Tanto faccià,that everyone has declared war on us; 
 co•nostro tradimento,but we are able to defeat them all.”
Che tutto 'l mondo à preso co•noi guerra;,
Ma tutti gli mettiamo a perdimento.,
"“Sed i' truovo in cittade o in castello,","“If I find a city or castle, "
"Colà ove paterin sia riparato,","in which a Paterin may have taken refuge, "
Crede[n]te ched e' sia ,whether he be a 
" consolato,", or a 
"Od altr'uon, ma' ch'e' sïa mio ribello,",", "
O prete ched e' sia o chericello,"or any one else, provided he is my enemy,"
"Che tenga amica, o giolivo parlato,",whether he be a priest or a young cleric 
"E' convien che per me sia gastigato,","who has a lover, or a pleasure-seeking prelate, "
Ché ciaschedun mi do,"I must punish them all, "
"ta, sì son fello.","because everyone fears me, so wicked am I."
Ancor gastigo altressì usurai,"Moreover, I punish usurers, "
"E que' che sopravendono a credenza,","and those who sell on credit with inflated prices, "
Roffïane e forziere e bordelai;,ruffians and spell-binders and pimps.
E 'n ciasc[hed]uno i' ò malivogl[i]enza;,For each of them I feel great hatred; 
"Ma, che che duol tu senti, no'l dirai,","but however much pain you feel, you will not complain, "
Sì fortemente dotti mia sentenza.,so strongly do you fear my judgment.”
"“Que' che vorrà campar del mi' furore,","“If someone wishes to escape my fury, "
Ec[c]o qui preste le mie difensioni:,here are the weapons to defend himself from me: 
"Grosse lamprede, o ver di gran salmoni",let him bring huge lampreys or enormous salmons 
"Aporti, [o] lucci, sanza far sentore.","or pike, without letting it be known."
La buona anguilla nonn-è già peg[g]iore;,"A good eel is hardly bad, "
"Alose o tinche o buoni storïoni,","shad or tench or some good sturgeon, "
Torte battute o tartere o fiadoni:,cakes or stuffed pastries or sweet breads: 
"Queste son cose d'âquistar mi' amore,",these are things that will gain my love.
O s'e' mi manda ancor grossi cavretti,"Or let him send me large kids, "
O gran cappon' di muda be•nodriti,"or large, well-nourished capons who’ve moulted, "
O paperi novelli o coniglietti.,or young goslings and rabbits.
"Da ch'e' ci avrà di ta' morse' serviti,","After he’s served us such morsels, "
No•gli bisogna di far gran disdetti:,he’ll need not make any big excuses: 
"Dica che g[i]uoco, e giuoc'a tutti 'nviti.","let him tell me what game to play, and I’ll play it.”"
“Que' che non pensa d'aver l'armadure,“Those who do not provide the defensive weapons 
"Ch'i' v'ò contate, o ver preziosi vini,",I’ve mentioned to you - not to mention fine wines 
"O ver di be' sac[c]hetti di fiorini,",or lovely pouches full of florins ­ 
Le mie sentenze lor fìer troppo dure.,will find my judgments on them very harsh.
"Né non si fidi già in escritture,","They should not rely on the Scriptures, "
Ché saccian che co' mie' mastri divini,for they should know that my theologians 
I' proverò ched e' son paterini,"and I will prove that they are Paterines, "
E farò lor sentir le gran calure.,and I will make them feel the hot fires.
"Od i' farò almen ch'e' fien murati,","Or at least I’ll have them imprisoned, "
O darò lor sì dure penitenze,or give them such harsh penances 
Che me' lor fôra ch'e' non fosser nati.,that it would be better if they’d not been born.
A Prato ed a Arez[z]o e a Firenze,In Prato and in Arezzo and in Florence 
N'ò io distrutti molti e iscacciati:,I destroyed and exiled a great many of them:
Dolente è que' che cade a mie sentenze”.,sorrowful is he who falls under my judgment!”
"“Dì, Falsembiante, per gran cortesia,","“False Seeming, tell me out of courtesy, "
"Po' ch'i' t'ò ritenuto di mia gente,",since I have accepted you among my barony 
E òtti fatto don sì bel[l]'e gente,and have given such a truly noble gift to you 
"Che•ttu se' re della baratteria,","who are the king of fraud,"
"Afideròm[m]i in te, o è follia?","should I put my trust in you, or is it folly? "
Fa che•ttu me ne facci conoscente:,"Be sure to let me know, "
"Chéd i' sarei doman troppo dolente,","because I would be very sad tomorrow, "
Se•ttu pensassi a farmi villania”.,if you were planning to betray me.”
"“Per Dio merzé, messer, non vi dottate,","“For God’s mercy, my lord, don’t be afraid, "
"Chéd i' vi do la fé, tal com'i' porto,","for I give you my word, which is just as reliable as I am, "
Ched i' vi terrò pura lealtate”.,that I will maintain true loyalty to you.”
"“Allor”, sì disse Amor, “ogno[n] si' acorto","“Then,” said Love, “let each of you be quick "
"D'armarsi con su' arme devisate,",to arm himself with his particular weapons 
E vadasi al castel che•ssì m'à morto”.,and go to the castle that has ruined me.”
"À l'armadure ciaschedun sì prese,",They all took their weapons 
E sì s'armâr con molto gran valore,"and armed themselves with great strength, "
"Per dar a Gelosia pene e dolore,","in order to give Jealousy pain and anguish, "
Se contra lor [i]stesse alle difese;,if she were to resist them.
"Ed alcun prese scudo, altro pavese,","And some took a shield, others a pavis, "
"Ispade e lancie, a molto gran romore,","swords and spears, all with a great shout; "
Dicendo ciaschedun al Die d'Amore,each one telling the God of Love 
Che quelle guardie saran morte e prese.,that those guards will be dead and captured.
Or sì vi conterò la contenenza,Now I’ll tell you how False Seeming 
Che Falsembiante fece in quella andata,behaved in that expedition 
Colla su' amica Costretta-Astinenza.,with his friend Forced Abstinence.
"E' no•mmenâr co•llor già gente armata,","They did not take any armed warriors with them, "
Ma come gente di gran penitenza,"but as people with a penitent look, "
Si mosser per fornir ben lor giornata.,they went forth to accomplish their day’s task.
Astinenza-Costretta la primera,"First of all, Forced Abstinence "
"Sì si vestì di roba di renduta,","put on a nun’s habit, "
Velata che non fosse conosciuta;,complete with veil that she might not be recognized; 
Con un saltero i•man facea preghera.,she held a psalter in her hands and prayed.
"La ciera sua non parea molto fera,",Her face did not seem very fierce; 
Anz'era umile e piana divenuta;,"indeed, it had become humble and modest; "
Al saltero una filza avea penduta,"she had attached a rosary to her psalter, "
"Di paternostri, e 'l laccio di fil iera.",and it was tied with thread.
Ed i•mano un bordon di ladorneccio,And in her hand she carried 
"Portava, il qual le donò ser Baratto:","a thief’s staff, which Ser Deceit had given her: "
Già non era di melo né di leccio;,it was not made of apple wood or of oak;
Il suocer le l'avea tagliato e fatto.,her father-in-law had cut and fashioned it for her. 
La scarsella avea piena di forneccio.,Her purse was full of stolen goods.
Ver' Mala-Bocca andò per darli matto.,She went towards Bad Mouth to checkmate him.
"Falso-Sembiante, sì com'on di coro",Just like a member of a religious order 
"Religïoso e di santa vita,","or a man of holy life, "
"S'aparec[c]hiò, e sì avea vestita",False Seeming got ready and had donned for this occasion 
La rob,the habit of Albert of Agimore.
 frate Alberto d'Agimoro.,His staff was not made of sycamore 
"Il su' bordon non fu di secomoro,",but of great and highly polished falsity; 
Ma di gran falsità ben ripulita;,his purse was full and stocked 
La sua scarsella avea pien' e fornita,"with treason, more than with gold or silver;"
"Di tradigion, più che d'argento o d'oro;","and over his shoulder he carried a volume, all by itself:"
Ed una bib[b]ia al collo tutta sola,"inside his shirt he had a sharp razor,"
"Portava: in seno avea rasoio tagl[i]ente,","he’d had it made in Tagliagola,"
"Ch'el fece fab[b]ricare a Tagliagola,",and later used it to cut the slanderous 
Di che quel Mala-Bocca maldicente,"Bad Mouth’s throat, the one who took great pleasure "
"Fu poï strangolato, che tal gola",in saying evil things about everyone.
Avëa de dir male d'ogne gente.,
Così n'andaro in lor pellegrinag[g]io,"And so the good pilgrims, female and male, "
La buona pellegrina e 'l pellegrino;,went on their pilgrimage; 
"Ver' Mala-Bocca ten[n]er lor camino,","they headed straight for Bad Mouth, "
Che troppo ben guardava su' passag[g]io.,who very carefully guarded his gate.
E Falsembiante malizioso e sag[g]io,Malicious and wise False Seeming 
"Il salutò col capo molto chino,","greeted him with his head bent low, "
"E sì gli diss': “I' son mastro divino,","saying: “I am a master of theology, "
Sì siàn venuti a voi per ostellag[g]io”.,and we have come to you to obtain hospitality.”
"Mala-Bocca conob[b]e ben Sembiante,","Bad Mouth clearly recognized Seeming, "
Ma non che•ffosse Falso; sì rispuose,"but not that he was False; thus, he replied "
C[h]'ostel dareb[b]e lor: “Venite avant,that he would give them shelter: “Come in.”
”.,"He observed Abstinence very closely, "
"Ad Astinenza molto mente puose,",for he had seen her many times; 
Ché veduta l'avea per volte mante;,but he did not recognize her as Forced.
Ma per Costretta già mai no•lla spuose.,
Mala-Bocca sì 'nchiede i pellegrini,Bad Mouth asks the pilgrims 
"Di loro stato e di lor condizione,","of their status and condition, "
E dimandò qual era la cagione,and asked them why 
Ch'egli andavan sì matti e sì tapini.,they looked so discouraged and wretched.
"Que' disser: “No' sì siàn mastri divini,","They said: “We are masters of theology, "
E sì cerchiamo in ogne regïone,and so in every region we look for 
"De l'anime che vanno a perdizione,","souls who seem destined for hell, "
Per rimenargli a lor dritti camini.,in order to bring them back to the proper path.
Or par che•ssia piaciuto al Salvatore,Now it seems that it has pleased the Savior 
D'averci qui condotti per vo' dire,to have brought us here to remind you 
"E gastigar del vostro grande errore,","of your great sin and to chastise you for it, "
S'e' vi piace d'intender e d'udire”.,if you wish to learn about it and to listen.”
“............................................[-ore],“[...]
"O fatto, i' sì son presto d'ubidire”.","or done, I am ready to obey.”"
"Astinenza sì cominciò a parlare,","Abstinence then began to speak, "
E disse: “La vertude più sovrana,saying: “The highest virtue 
"Che possa aver la criatura umana,",that the human creature can have 
Sì è della sua lingua rifrenare.,is to restrain his tongue.
Sovr'ogn'altra persona a noi sì pare,It seems to us that this sin 
Ch'esto peccato in voi fiorisce e grana;,flowers and prospers in you more than in any other; 
"Se no'l lasciate, egli è cosa certana","if you don’t let go of it, it’s certain "
Che nello 'nferno vi conviene andare:,that you will go to hell.
Ché pez[z]'à c[h]'una truffola levaste,For some time ago you began a vicious rumor 
Sopra 'l valetto che vo' ben sapete:,"about the young man, you know this well: "
"Con gran[de] torto voi il difamaste,","you slandered him wrongly,"
Ch'e' non pensava a•cciò che vo' credete.,for he was not planning to do what you think he was. 
Bellacoglienza tanto ne gravaste,You made such heavy accusations against Fair Welcome 
Ch'ella fu messa là ove vo' vedete”.,that she was placed there where you can see her.”
Udendo Mala-Bocca c[h]'Astinenza,Upon hearing the strong reproach 
"Sì forte il biasimava e riprendea,","and criticism that Abstinence gave him, "
"Sì•ssi crucciò, e disse ch'e' volea",Bad Mouth got very mad and said he wanted 
C[h]'andasser fuor della su'apartenenza:,them to leave his territory:
“Vo' credete coprir Bellacoglienza,“You think you can clear Fair Welcome 
Di ciò che quel valetto far credea.,of that which the young lad was thinking of doing. 
"Be•llo dissi e dirò, che la volea","I said it once and I’ll say it again, that she wanted "
"Donargli il fior, e quest'era sua 'ntenza.","to give him the Flower, and this was her intention."
"Quel [n]onn-errò del bascio, quest'è certo:","That one did not kiss her by mistake, that’s for sure: "
"Per ch'i' vi dico, a voi divinatori,","for which I tell you, you fancy talkers, "
Che questo fatto non fia già coverto.,that this deed will not be hidden.
Vo' mi parete due inganatori:,You seem to me to be two deceivers: 
"Andate fuor di casa, che 'n aperto","get out of my house, for I’ll plainly "
Vi dico ch'i' non vo' tapinatori”.,tell you that I don’t want swindlers here.”
Falso-Sembiante disse: “Per merzede,"False Seeming said: “For mercy’s sake, "
"Vi priego, Mala-Bocca, c[h]'ascoltiate;","I beg you, Bad Mouth, listen to me; "
"Ché, quand'uon conta pura ver[i]tate,","for when one tells the honest truth, "
Molt'è folle colù' che no•lla crede.,he who does not believe it is very foolish.
Vo' sete ben certan che•ll'uon non vede,You may be quite sure there’s no evidence 
Che 'l valletto vi porti nimista,that the young lad bears you hatred: 
e;,if he were to love the friendship 
Sed egli amasse tanto l'amista,"of the Flower as much as you say, and loyally,"
e,"he would have killed you a long time ago, "
"Del fior quanto vo' dite, a buona fede,",since you did him such a wrong. 
"Egli à gran pezza ch'e' v'avrïa morto,","But he doesn’t see things that way, nor he is prepared to,"
Avendogli voi fatto tal oltraggio;,and he always shows you kindness 
"Ma non vi pensa e non si n'è acorto,",and would serve you in good and in bad 
"E•ttuttor sì vi mostra buon corag[g]io,",as someone who is courteous and valorous and wise.”
E servireb[b]evi a dritto e a torto,
Come que' ch'è cortese e prode e saggio”.,
Ser Mala-Bocca si fu ripentuto,Ser Bad Mouth had repented 
"Di ciò ch'egli avea detto o pur pensato,","of what he’d said or even thought, "
Ched e' credette ben aver fallato;,for he knew he’d made a mistake. 
Sì disse a Falsembiante: “Il vostro aiuto,"Thus, he said to False Seeming: “It’s best that"
"Convien ch'i' ag[g]ia, ch'i' non sia perduto”;","I have your help, so that my soul may not be lost.”"
"E 'mantenente si fu inginoc[c]hiato,",And immediately he kneeled down 
E disse: “I' sì vogli'esser confessato,and said: “I want to confess 
D'ogne peccato che m'è avenuto”.,every sin that I have committed.”
"Astinenza-Costretta il prese allora,","Forced Abstinence grabbed him then, "
"Che•ss'era molto ben sobarcolata,","for she had loosened her clothes a bit, "
E Falsembiante col rasoio lavora:,and False Seeming goes to work with his razor:
A Mala-Bocca la gola à tagliata.,he cut Bad Mouth’s throat. 
E po' ru[p]per la porta san' dimora:,And then they broke down the gate without delay: 
Larghez[z]a e Cortesia l'àn[n]o passata.,Generosity and Lady Courtesy passed through it.
"Tutti quat[t]ro passarono il portale,",All four of them went through the portal; 
E sì trovaron dentro a la porpresa,"inside the walls they found the Old Woman,"
"La Vec[c]hia, che del castro era [di]scesa;",who had come down from the tower. 
"Quando gli vide, le ne parve male,","When she saw them, things looked bad to her,"
Ma tuttavia non ne fece segnale.,but nevertheless she gave no sign of it. 
"Larghez[z]a e Cortesia sì l'àn[n]o atesa,",Generosity and Lady Courtesy waited for her 
"E disserle: “Madonna, san' difesa","and said: “My Lady, without any opposition "
Potete prender quanto il nostro vale:,"you can take all of our valuables,"
"Chéd egli è vostro, sanza farne parte,","for they are yours, completely, "
E sì ve ne doniàn già la sagina,"and so we offer you this opportunity, "
E sopra tutto vi vogliàn far carte”.,"and, most of all, we wish to draft the proper papers.”"
"La Vec[c]hia, che sapea ben la dottrina,","The Old Woman who knew the theory well, "
"Ché molte volte avea studiato l'arte,","since she had practiced this art many times,"
Gline marzïa molto e gline 'nchina.,gave them thanks and bows to them.
Falsembiante a la Vec[c]hia sì à detto:,False Seeming said to the Old Woman: 
"“Per Dio, gentil madonna prezïosa","“In God’s name, noble and refined lady, "
"Che sempre foste e siete pïetosa,","you who were and always are merciful, "
Che vo' ag[g]iate merzé del buon valletto!,may you take pity on the young lad!
Ch'e' vi piaccia portarle un gioeletto,May it please you to take a jewel 
Da la sua parte a quella grazïosa,on his behalf to that gracious 
"Bellacoglienza, che gli fu nascosa,","Fair Welcome, who was hidden from him, "
De ch'egli à avuto il cuor molto distr,on account of which his heart has been terribly distressed!
tto!,"See here the combs that he sends to her, "
"Vedete qui fermagli ch'e' le manda,",and these rings and these silk ribbons; 
"E queste anella e questi intrecciatoi,","and this noble garland, too."
Ancora questa nobil[e] ghirlanda.,His fate is completely entrusted to you. 
Il fatto suo si tien tratutto a voi;,Each one of us gives him our blessing: 
Ciascun di noi per sé lui racomanda:,as for your situation we will take care of that.”
Del fatto vostro penserén ben noi”.,
"La Vec[c]hia sì rispuose san' tardare,","The Old Woman answered without delay, "
Ché 'l male e 'l ben sapea quantunque n'era:,because she was an expert in good and evil: 
“Vo' mi fate [co]sì dolze preghera,“You make me such a sweet request 
Ch'i' no lo vi saprei giamai vietare.,that I could never refuse you.
Questi gioelli i' sì vo' ben portare,I am pleased to take and give 
E dargli nella più bella maniera,these jewels in the best way 
"Che io potrò; ma una lingua fiera,",that I can; but a wicked tongue 
"Che quaentr'è, mi fa molto dottare,","that dwells within these walls makes me very fearful,"
"E•cciò è Mala-Bocca maldicente,","namely Bad Mouth, the slanderer, "
"Che [con]truova ogne dì nuovi misfatti,","who every day thinks up new crimes, "
Né non riguarda amico né parente”.,and cares not for friends or relatives.”
"“No'l ridottate più giamai a fatti,","“Do not fear his deeds anymore, "
"Ché noi sì l'ab[b]iàn morto, quel dolente,",for we have killed that wretch 
Sanza che 'n noi trovasse trieva o patti.,without giving him any truce or conditions.”
“Certanamente noi gli ab[b]iàn segata,“For sure we sawed right through 
"La gola, e giace morto nel fossato:","his throat, and he lies dead in the moat. "
"E' nonn-à guar' che noi l'ab[b]iàn gittato,","Not long ago we pitched him there, "
E 'l diavol sì n'à l'anima portata”.,and the devil took his soul away.”
La Vec[c]hia sì rispuose: “Or è amendata,To this the Old Woman made reply: “Now our situation 
"Nostra bisogna, po' ch'egli è sì andato.","is improved, since he’s no longer with us. "
"Colui cu' vo' m'avete acomandato,",I will put my every thought to serving 
I' metterò in servirlo mia pensata.,that one whom you have recommended to me.
Dit'al valetto ch'i' ne parleròe:,Tell the young lad I’ll speak on his behalf 
"Quando vedrò che 'l fatto sia ben giunto,","when I see that the time is ripe, "
I' tutta sola a chieder sì•ll'andròe”.,I’ll go all alone to get him.”
"Allor si parte, ed ivi fece punto,","Then she leaves, and put an end to her words, "
E tutti quanti a Dio gli acomandòe.,and commended all of them to God. 
