,Inferno,Inferno_ita
2631,"segnar poria, s’e’ fesse quel cammino. ","la propria benedizione , se mai facessero quel cammino."
2632,"Siede Peschiera, bello e forte arnese","Sorge  Peschiera, bella e robusta fortezza "
2633,"da fronteggiar Bresciani e Bergamaschi,","per fronteggiare gli attacchi di Bresciani e Bergamaschi,"
2634,ove la riva ’ntorno più discese. ,dove la riva del lago è più bassa .
2635,Ivi convien che tutto quanto caschi,Qui è necessario che trabocchi 
2636,"ciò che ’n grembo a Benaco star non può,","tutta l’acqua che non può essere contenuta nel lago di Garda,"
2637,e fassi fiume giù per verdi paschi. ,e diventa fiume che discende per verdi pascoli.
2638,"Tosto che l’acqua a correr mette co,",Appena l’acqua comincia  a scorrere
2639,"non più Benaco, ma Mencio si chiama","non si chiama più Garda, ma Mincio"
2640,"fino a Governol, dove cade in Po. ","fino a Govèrnolo, dove sfocia  nel Po."
2641,"Non molto ha corso, ch’el trova una lama,","Dopo un breve tratto di corso, il fiume trova un avvallamento ,"
2642,ne la qual si distende e la ’mpaluda;,dove si slarga creando una palude ;
2643,e suol di state talor esser grama. ,e d’estate talora l’acqua suole essere malsana .
2644,Quindi passando la vergine cruda,Passando di qui  la vergine crudele 
2645,"vide terra, nel mezzo del pantano,",Manto vide nel mezzo della palude
2646,sanza coltura e d’abitanti nuda. ,una terra incolta e priva  di abitanti.
2647,"Lì, per fuggire ogne consorzio umano,","Per sfuggire il consorzio umano,"
2648,"ristette con suoi servi a far sue arti,","si fermò lì coi servi per esercitare le arti magiche,"
2649,"e visse, e vi lasciò suo corpo vano. ","dove visse, e lasciò il suo corpo senza vita ."
2650,Li uomini poi che ’ntorno erano sparti,In seguito gli abitanti che erano sparsi 
2651,"s’accolsero a quel loco, ch’era forte","nei territori vicini convennero in quel luogo,"
2652,per lo pantan ch’avea da tutte parti. ,che era fortificato grazie alla palude che lo circondava da ogni parte.
2653,Fer la città sovra quell’ossa morte;,Costruirono la città dove era stata sepolta la maga ;
2654,"e per colei che ’l loco prima elesse,","e in onore di colei che per prima scelse quel luogo,"
2655,Mantüa l’appellar sanz’altra sorte. ,la chiamarono Mantova senza altri sortilegi .
2656,"Già fuor le genti sue dentro più spesse,","Un tempo  i suoi abitanti  furono più numerosi ,"
2657,prima che la mattia da Casalodi,prima che la stoltezza  di  Casalodi
2658,da Pinamonte inganno ricevesse. ,fosse ingannata da Pinamonte .
2659,"Però t’assenno che, se tu mai odi","Perciò ti avverto  affinché, qualora tu sentissi"
2660,"originar la mia terra altrimenti,","descrivere in altri modi le origini  della mia terra,"
2661,"la verità nulla menzogna frodi"". ",nessuna menzogna inganni  la verità».
2662,"E io: ""Maestro, i tuoi ragionamenti","E io: «Maestro, i tuoi ragionamenti"
2663,"mi son sì certi e prendon sì mia fede,","sono così sicuri  e convincono  tanto la mia fede,"
2664,che li altri mi sarien carboni spenti. ,che gli altri sarebbero per me carboni spenti.
2665,"Ma dimmi, de la gente che procede,","Ma dimmi se, tra le anime  che camminano,"
2666,se tu ne vedi alcun degno di nota;,tu scorgi qualcuno degno di nota;
2667,"ché solo a ciò la mia mente rifiede"". ",poiché solo a questo la mia mente torna a rivolgersi ».
2668,"Allor mi disse: ""Quel che da la gota",Allora mi disse: «Quello che stende 
2669,"porge la barba in su le spalle brune,","dalla guancia la barba sulle spalle scure,"
2670,"fu - quando Grecia fu di maschi vòta, ","fu – quando la Grecia restò priva  di maschi ,"
2671,sì ch’a pena rimaser per le cune -,e rimasero solo quelli nelle culle –
2672,"augure, e diede ’l punto con Calcanta","un indovino, e indicò il tempo propizio  insieme a Calcante"
2673,in Aulide a tagliar la prima fune. ,in Aulide per tagliare la prima fune .
2674,"Euripilo ebbe nome, e così ’l canta","Si chiamò Euripilo, e così lo canta"
2675,l’alta mia tragedìa in alcun loco:,"il mio poema epico , l’Eneide, in qualche passo :"
2676,ben lo sai tu che la sai tutta quanta. ,e lo sai bene tu che lo conosci tutto.
2677,"Quell’altro che ne’ fianchi è così poco,","Quell’altro che è così esile  ai fianchi,"
2678,"Michele Scotto fu, che veramente","fu Michele Scotto , che veramente"
2679,de le magiche frode seppe ’l gioco. ,conobbe l’esercizio  delle arti magiche .
2680,"Vedi Guido Bonatti; vedi Asdente,","Vedi poi Guido Bonatti ; vedi Asdente ,"
2681,ch’avere inteso al cuoio e a lo spago,"che ora vorrebbe aver atteso  al cuoio e allo spago,"
2682,"ora vorrebbe, ma tardi si pente. ",ma troppo tardi si pente.
2683,"Vedi le triste che lasciaron l’ago,","Vedi le sciagurate  che abbandonarono l’ago,"
2684,"la spuola e ’l fuso, e fecersi ’ndivine;","la spola, il fuso e divennero indovine;"
2685,fecer malie con erbe e con imago. ,fecero magie con erbe e per mezzo di figure .
2686,"Ma vienne omai, ché già tiene ’l confine","Ma oramai vieni via di qui ,"
2687,d’amendue li emisperi e tocca l’onda,poiché la luna  già è al confine dei due emisferi
2688,sotto Sobilia Caino e le spine; ,e tramonta  sotto Siviglia ;
2689,e già iernotte fu la luna tonda:,e già ieri notte la luna era piena :
2690,"ben ten de’ ricordar, ché non ti nocque","te ne devi ricordare bene, poiché non ti ha nuociuto"
2691,"alcuna volta per la selva fonda"". ",mai mentre eri nella selva profonda».
2692,"Sì mi parlava, e andavamo introcque.","Così mi parlava, e intanto  camminavamo."
2693,"Così di ponte in ponte, altro parlando","Così di ponte in ponte, parlando di argomenti  "
2694,"che la mia comedìa cantar non cura,","che la mia commedia non cura di cantare,"
2695,"venimmo; e tenavamo ’l colmo, quando","giungemmo; ed eravamo sulla sommità del ponte, quando "
2696,restammo per veder l’altra fessura,ci fermammo  per osservare l’altra bolgia  
2697,di Malebolge e li altri pianti vani;,di Malebolge e gli altri inutili pianti; 
2698,e vidila mirabilmente oscura. ,e la vidi straordinariamente  oscura. 
2699,Quale ne l’arzanà de’ Viniziani,Come nell’arsenale  dei Veneziani 
2700,bolle l’inverno la tenace pece,d’inverno bolle la pece tenace 
2701,"a rimpalmare i legni lor non sani, ","che serve a ricoprire di nuovo  le loro imbarcazioni non più in buone condizioni, "
2702,ché navicar non ponno - in quella vece,poiché essi non possono mettersi per mare – invece di navigare 
2703,chi fa suo legno novo e chi ristoppa,chi costruisce una nuova barca e chi chiude con la stoppa  
2704,le coste a quel che più vïaggi fece; ,i fianchi a quella che ha fatto più viaggi; 
2705,chi ribatte da proda e chi da poppa;,chi lavora per rinsaldare a prua o a poppa; 
2706,altri fa remi e altri volge sarte;,altri costruiscono remi e altri attorcigliano sartie; 
2707,chi terzeruolo e artimon rintoppa -: ,chi riassetta le vele terzeruolo e artimone –: 
2708,"tal, non per foco ma per divin’arte,","così, non per effetto del fuoco ma per prodigio  divino, "
2709,"bollia là giuso una pegola spessa,",laggiù ribolliva una pece  densa 
2710,che ’nviscava la ripa d’ogne parte. ,che invischiava la riva da ogni parte. 
2711,"I’ vedea lei, ma non vedëa in essa","Io la osservavo, ma dentro non vedevo altro "
2712,"mai che le bolle che ’l bollor levava,",che  le bolle che il caldo  sollevava 
2713,"e gonfiar tutta, e riseder compressa. ","e vedevo che si gonfiava tutta, per poi riabbassarsi sgonfiata . "
2714,"Mentr’io là giù fisamente mirava,","Mentre io guardavo attentamente  in basso,"
2715,"lo duca mio, dicendo ""Guarda, guarda!"",","la mia guida, dicendo: «Presta attenzione, guardati!», "
2716,mi trasse a sé del loco dov’io stava. ,mi trasse vicino a sé dal luogo dov’ero. 
2717,Allor mi volsi come l’uom cui tarda,Allor mi volsi come fa l’uomo che è impaziente  
2718,di veder quel che li convien fuggire,di vedere quello che gli conviene fuggire 
2719,"e cui paura sùbita sgagliarda, ","e al quale la paura improvvisa toglie ogni vigore , "
2720,"che, per veder, non indugia ’l partire:","per cui non tergiversa  a partire, pur cercando di guardare:"
2721,e vidi dietro a noi un diavol nero,e dietro di noi vidi un diavolo nero 
2722,correndo su per lo scoglio venire. ,venire di corsa verso il ponte . 
2723,Ahi quant’elli era ne l’aspetto fero!,Ahi quant’era feroce nell’aspetto! 
2724,"e quanto mi parea ne l’atto acerbo,","e come mi pareva crudele  nel contegno ,"
2725,con l’ali aperte e sovra i piè leggero! ,"con le ali spiegate, agile e veloce! "
2726,"L’omero suo, ch’era aguto e superbo,","Un peccatore gravava con tutte e due le anche l’omero del diavolo, "
2727,"carcava un peccator con ambo l’anche,","che era acuto e rilevato , "
2728,e quei tenea de’ piè ghermito ’l nerbo. ,e questi teneva ghermito  il tendine  del piede. 
2729,"Del nostro ponte disse: ""O Malebranche,","Dal nostro ponte gridò: «O Malebranche, "
2730,ecco un de li anzïan di Santa Zita!,ecco uno dei magistrati  di Santa Zita !
2731,"Mettetel sotto, ch'i' torno per anche ","Immergetelo, poiché io torno di nuovo "
2732,"a quella terra, che n’è ben fornita:",in quella città  che è ben fornita di costoro : 
2733,"ogn’uom v’è barattier, fuor che Bonturo;",ogni uomo è barattiere ad eccezione di Bonturo; 
2734,"del no, per li denar, vi si fa ita"". ","qui, per denaro, qualunque no diventa sì »"
2735,"Là giù ’l buttò, e per lo scoglio duro","Lo buttò in basso, e tornò indietro  per il ponte in pietra ; "
2736,si volse; e mai non fu mastino sciolto,e non ci fu mai un mastino sciolto 
2737,con tanta fretta a seguitar lo furo. ,che inseguisse con tanta prontezza  il ladro .
2738,"Quel s’attuffò, e tornò sù convolto;","Quell’anima si immerse nella pece, e tornò su imbrattata ; "
2739,"ma i demon che del ponte avean coperchio,","ma i demoni nascosti sotto il ponte, gridarono: "
2740,"gridar: ""Qui non ha loco il Santo Volto! ",«Qui non avviene l’ostensione del Santo Volto! 
2741,qui si nuota altrimenti che nel Serchio!,qui si nuota diversamente che nel fiume Serchio! 
2742,"Però, se tu non vuo’ di nostri graffi,","Perciò, se tu non vuoi provare  i nostri graffi, "
2743,"non far sopra la pegola soverchio"". ",non stare a galla  sopra la pece ». 
2744,"Poi l’addentar con più di cento raffi,","Poi che l’ebbero addentato con più di cento uncini , "
2745,"disser: ""Coverto convien che qui balli,","dissero: «Qui è necessario che balli sotto la pece, "
2746,"sì che, se puoi, nascosamente accaffi"". ","in modo tale che, se riesci, tu arraffi  di nascosto». "
2747,Non altrimenti i cuoci a’ lor vassalli,Non diversamente i cuochi ai loro aiutanti 
2748,fanno attuffare in mezzo la caldaia,ordinano di immergere  la carne nel mezzo della caldaia 
2749,"la carne con li uncin, perché non galli. ","tramite uncini, perché non galleggi . "
2750,"Lo buon maestro ""Acciò che non si paia","Il buon maestro: «Perché non si scorga la tua presenza», "
2751,"che tu ci sia"", mi disse, ""giù t’acquatta","mi disse, «acquattati dietro la roccia , "
2752,"dopo uno scheggio, ch’alcun schermo t’aia; ",in modo da avere un riparo; 
2753,"e per nulla offension che mi sia fatta,","e per qualunque offesa che mi venga fatta, "
2754,"non temer tu, ch’i’ ho le cose conte,","non devi temere, ché io conosco  le cose, "
2755,"perch’altra volta fui a tal baratta"". ",dal momento che ho già assistito un’altra volta a tale contesa ». 
2756,Poscia passò di là dal co del ponte;,Poi passò dall’altro capo  del ponte;
2757,"e com’el giunse in su la ripa sesta,","e come giunse sulla riva della sesta bolgia,"
2758,mestier li fu d’aver sicura fronte. ,gli fu necessario  assumere un aspetto  intrepido. 
2759,Con quel furore e con quella tempesta,Con quel medesimo furore e frastuono di latrati  
2760,ch’escono i cani a dosso al poverello,"con cui si lanciano i cani addosso al poverello che, "
2761,"che di sùbito chiede ove s’arresta, ","dal punto in cui si ferma, subito chiede l’elemosina, "
2762,"usciron quei di sotto al ponticello,","quei diavoli sbucarono da sotto il ponte,"
2763,e volser contra lui tutt’i runcigli;,e gli rivolsero contro tutti i ferri uncinati;
2764,"ma el gridò: ""Nessun di voi sia fello! ",ma egli gridò: «Nessuno di voi sia perfido ! 
2765,"Innanzi che l’uncin vostro mi pigli,","Prima che il vostro uncino mi colpisca , "
2766,"traggasi avante l’un di voi che m’oda,","venga avanti uno di voi che m’ascolti, "
2767,"e poi d’arruncigliarmi si consigli"". ",e poi deciderete se straziarmi coi vostri ferri ». 
2768,"Tutti gridaron: ""Vada Malacoda!"";",Gridaron tutti: «Vada Malacoda!»; 
2769,per ch’un si mosse - e li altri stetter fermi -,perciò uno si mosse – mentre gli altri stettero fermi –
2770,"e venne a lui dicendo: ""Che li approda?"". ",e si avvicinò a Virgilio dicendo: «Che cosa pensa di ottenere ?». 
2771,"""Credi tu, Malacoda, qui vedermi","«Credi tu, Malacoda, di potermi vedere "
2772,"esser venuto"", disse ’l mio maestro,","giunto fino qui», disse il mio maestro,"
2773,"""sicuro già da tutti vostri schermi, ","«sicuro già da tutte le vostre opposizioni, "
2774,sanza voler divino e fato destro?,senza il volere di Dio e il destino favorevole ?
2775,"Lascian’andar, ché nel cielo è voluto","Lasciaci passare, poiché s’è deciso nel cielo "
2776,"ch’i’ mostri altrui questo cammin silvestro"". ",che io mostri ad altri  questo cammino aspro ». 
2777,"Allor li fu l’orgoglio sì caduto,","A questo punto gli venne meno l’alterigia, "
2778,"ch’e’ si lasciò cascar l’uncino a’ piedi,",così che si lasciò cadere ai piedi l’uncino
2779,"e disse a li altri: ""Omai non sia feruto"". ",e disse agli altri: «Non sia più  aggredito». 
2780,"E ’l duca mio a me: ""O tu che siedi",E la mia guida mi disse: «O tu che te ne stai 
2781,"tra li scheggion del ponte quatto quatto,","quatto quatto tra le rocce  del ponte,"
2782,"sicuramente omai a me ti riedi"". ",accostati ormai a me con sicurezza». 
2783,Per ch’io mi mossi e a lui venni ratto;,Perciò mi mossi e velocemente  lo raggiunsi; 
2784,"e i diavoli si fecer tutti avanti,","e i diavoli avanzarono tutti insieme, "
2785,sì ch’io temetti ch’ei tenesser patto; ,tanto che temetti non mantenessero la promessa; 
2786,così vid’ïo già temer li fanti,ugualmente altra volta  ho visto il timore dei soldati  
2787,"ch’uscivan patteggiati di Caprona,","che uscivano dal castello assediato di Caprona  dopo le trattative per la resa ,"
2788,veggendo sé tra nemici cotanti. ,vedendosi circondati da tanti nemici. 
2789,I’ m’accostai con tutta la persona,Io mi accostai con tutta la persona ben 
2790,"lungo ’l mio duca, e non torceva li occhi","vicino  alla mia guida, e non toglievo gli occhi"
2791,da la sembianza lor ch’era non buona. ,dal loro viso che non era affatto rassicurante . 
2792,"Ei chinavan li raffi e ""Vuo’ che ’l tocchi"",","Essi abbassavano gli uncini  e: «Vuoi che lo colpisca», "
2793,"diceva l’un con l’altro, ""in sul groppone?"".","si dicevano l’un l’altro, «sul groppone?». "
2794,"E rispondien: ""Sì, fa che gliel’accocchi"". ","E rispondevano: «Sì, fa’ in modo di assestargli un colpo ». "
2795,Ma quel demonio che tenea sermone,Ma quel demonio che patteggiava 
2796,"col duca mio, si volse tutto presto","col mio maestro, prontamente  si volse "
2797,"e disse: ""Posa, posa, Scarmiglione!"". ","e disse: «Fermati, fermati, Scarmiglione!». "
2798,"Poi disse a noi: ""Più oltre andar per questo",Poi ci disse: «Non si può più andare oltre 
2799,"iscoglio non si può, però che giace","questo ponte, dal momento che è crollato "
2800,tutto spezzato al fondo l’arco sesto. ,in pezzi il ponte  sulla sesta bolgia . 
2801,"E se l’andare avante pur vi piace,","Ma se, nonostante tutto, decidete di procedere, "
2802,andatevene su per questa grotta;,andate su per questa parete rocciosa ; 
2803,presso è un altro scoglio che via face. ,nelle vicinanze c’è un altro passaggio che permette  il transito . 
2804,"Ier, più oltre cinqu’ ore che quest’otta,","Ieri, cinque ore più tardi  di quest’ora , "
2805,mille dugento con sessanta sei,si compirono milleduecentosessantasei anni 
2806,anni compié che qui la via fu rotta. ,da quando la strada fu interrotta. 
2807,Io mando verso là di questi miei,Io invio da quella parte alcuni di questi miei 
2808,a riguardar s’alcun se ne sciorina;,a controllare se qualche dannato tenta di venire fuori  ; 
2809,"gite con lor, che non saranno rei"". ","andate con loro, che non vi faranno malvagità». "
2810,"""Tra’ ti avante, Alichino, e Calcabrina"",","«Vieni avanti , Alichino, e Calcabrina», "
2811,"cominciò elli a dire, ""e tu, Cagnazzo;","cominciò a dir quello, «e tu, Cagnazzo; "
2812,e Barbariccia guidi la decina. ,e Barbariccia guidi il gruppo. 
2813,"Libicocco vegn’oltre e Draghignazzo,","Venga inoltre Libicocco e Draghignazzo, "
2814,Cirïatto sannuto e Graffiacane,"Ciriatto fornito di zanne , e Graffiacane "
2815,e Farfarello e Rubicante pazzo. ,e Farfarello e Rubicante pazzo. 
2816,Cercate ’ntorno le boglienti pane;,Perlustrate intorno alla bollente pece ; 
2817,costor sian salvi infino a l’altro scheggio,costoro siano salvi fino al prossimo ponte 
2818,"che tutto intero va sovra le tane"". ",che intatto scavalca le bolge ». 
2819,"""Omè, maestro, che è quel ch’i’ veggio?"",","«Ohimè, maestro, cos’è quel che vedo?», "
2820,"diss’io, ""deh, sanza scorta andianci soli,","dissi io, «deh, andiamocene soli senza scorta, "
2821,se tu sa’ ir; ch’i’ per me non la cheggio. ,"se tu vi sai andare; io, per quanto mi riguarda, non desidero  la loro scorta."
2822,"Se tu se’ sì accorto come suoli,","Se tu sei davvero previdente  come sei solito, "
2823,non vedi tu ch’e’ digrignan li denti,non vedi che questi digrignano i denti 
2824,"e con le ciglia ne minaccian duoli?"". ",e con gli occhi  ci minacciano guai ?».
2825,"Ed elli a me: ""Non vo’ che tu paventi;",Ed egli a me: «Non voglio che tu abbia timore; 
2826,"lasciali digrignar pur a lor senno,","lasciali pur digrignare a piacimento  , "
2827,"ch’e’ fanno ciò per li lessi dolenti"". ",poiché essi lo fanno contro quelle anime che bollono con dolore».
2828,Per l’argine sinistro volta dienno;,"Svoltarono per l’argine sinistro, "
2829,ma prima avea ciascun la lingua stretta,"ma prima ognuno aveva stretto la lingua in mezzo ai denti, "
2830,"coi denti, verso lor duca, per cenno; ","verso il comandante, come segnale; "
2831,ed elli avea del cul fatto trombetta.,ed egli dal culo aveva fatto trombetta.
2832,"Io vidi già cavalier muover campo,","Altre volte  vidi cavalieri spostare l’accampamento, "
2833,"e cominciare stormo e far lor mostra,","e iniziare il combattimento e sfilare in parata , "
2834,e talvolta partir per loro scampo;,e talvolta li vidi anche battere in ritirata per porsi in salvo; 
2835,"corridor vidi per la terra vostra,","vidi, o Aretini, soldati a cavallo  attraverso la vostra terra, "
2836,"o Aretini, e vidi gir gualdane,","e vidi fare incursioni , "
2837,fedir torneamenti e correr giostra; ,combattere  tornei e correre giostre; 
2838,"quando con trombe, e quando con campane,","alcune volte al suono di trombe, altre volte di campane,"
2839,"con tamburi e con cenni di castella,","tamburi e segnali provenienti dalle fortezze, "
2840,e con cose nostrali e con istrane; ,e con strumenti comuni  o in uso presso stranieri ; 
2841,né già con sì diversa cennamella,ma davvero mai con un così strano  strumento a fiato  
2842,"cavalier vidi muover né pedoni,","vidi muoversi cavalieri, fanti o nave "
2843,né nave a segno di terra o di stella. ,con un segnale da terra o con la posizione della stella. 
2844,Noi andavam con li diece demoni.,Noi procedevamo con i dieci demoni. 
2845,Ahi fiera compagnia! ma ne la chiesa,Ahi paurosa  compagnia! ma nella chiesa  
2846,"coi santi, e in taverna coi ghiottoni. ","coi santi, nella taverna coi furfanti . "
2847,"Pur a la pegola era la mia ’ntesa,","La mia attenzione  era soltanto rivolta alla pece,"
2848,per veder de la bolgia ogne contegno,per poter scorgere ogni particolare  della bolgia 
2849,e de la gente ch’entro v’era incesa. ,e dei dannati che bruciavano al suo interno . 
2850,"Come i dalfini, quando fanno segno","Come i delfini, quando fanno segno "
2851,a’ marinar con l’arco de la schiena,ai marinai con l’arco del dorso 
2852,"che s’argomentin di campar lor legno, ","perché si ingegnino  a mettere in salvo  la loro imbarcazione , "
2853,"talor così, ad alleggiar la pena,","similmente talora, per alleviare  la loro pena, "
2854,mostrav’alcun de’ peccatori ’l dosso,"alcuni di quei peccatori mostravano il dorso, "
2855,e nascondea in men che non balena. ,nascondendolo più rapidamente del lampo. 
2856,E come a l’orlo de l’acqua d’un fosso,E come i ranocchi stanno sull’orlo dell’acqua di un fosso
2857,"stanno i ranocchi pur col muso fuori,","soltanto  con il muso fuori, "
2858,"sì che celano i piedi e l’altro grosso, ","così che nascondono le zampe e il resto del corpo ,"
2859,sì stavan d’ogne parte i peccatori;,in tal modo da ogni parte stavano i peccatori; 
2860,"ma come s’appressava Barbariccia,","ma appena Barbariccia si avvicinava, "
2861,così si ritraén sotto i bollori. ,subito si ritraevano sotto la bollente pece . 
2862,"I’ vidi, e anco il cor me n’accapriccia,","Io vidi, e ancora nel cuore provo raccapriccio, "
2863,"uno aspettar così, com’elli ’ncontra","uno attardarsi, come succede  che una rana resta "
2864,ch’una rana rimane e l’altra spiccia; ,mentre l’altra salta veloce in acqua ; 
2865,"e Graffiacan, che li era più di contra,","e Graffiacane, che gli stava proprio di fronte ,"
2866,li arruncigliò le ’mpegolate chiome,"gli prese con l’uncino  le chiome impeciate, "
2867,"e trassel sù, che mi parve una lontra. ","e lo trasse su, così che mi sembrò una lontra. "
2868,"I’ sapea già di tutti quanti ’l nome,","Io già conoscevo il nome di tutti quanti i diavoli, "
2869,"sì li notai quando fuorono eletti,","così li fissai nella mente quando furono scelti , "
2870,"e poi ch’e’ si chiamaro, attesi come. ",e poi stetti molto attento  al modo in cui si chiamavano per nome . 
2871,"""O Rubicante, fa che tu li metti","«O Rubicante, vedi di mettergli addosso "
2872,"li unghioni a dosso, sì che tu lo scuoi!"",","gli unghioni, in modo da scuoiarlo!», "
2873,gridavan tutti insieme i maladetti. ,gridavano insieme quei maledetti. 
2874,"E io: ""Maestro mio, fa, se tu puoi,","E io: «Maestro mio, se puoi, fa’ in modo"
2875,che tu sappi chi è lo sciagurato,di conoscere chi è quello sciagurato 
2876,"venuto a man de li avversari suoi"". ",caduto nelle mani  dei suoi avversari». 
2877,Lo duca mio li s’accostò allato;,La mia guida si avvicinò di lato; 
2878,"domandollo ond’ei fosse, e quei rispuose:","gli domandò donde fosse originario, e quegli  rispose: "
2879,"""I’ fui del regno di Navarra nato. ",«Io nacqui nel regno di Navarra. 
2880,"Mia madre a servo d’un segnor mi puose,","Mia madre mi pose al servizio di un signore,"
2881,"che m’avea generato d’un ribaldo,","lei che mi aveva generato da un dissoluto, "
2882,distruggitor di sé e di sue cose. ,suicida  e scialacquatore del patrimonio . 
2883,Poi fui famiglia del buon re Tebaldo;,Poi fui servo  del buon re Tebaldo; 
2884,"quivi mi misi a far baratteria,","qui mi misi a far baratteria, "
2885,"di ch’io rendo ragione in questo caldo"". ",della quale devo rendere conto  in questo caldo».
2886,"E Cirïatto, a cui di bocca uscia","E Ciriatto, dalla cui bocca come al porco"
2887,"d’ogne parte una sanna come a porco,","spuntava da ambo i lati una zanna, "
2888,li fé sentir come l’una sdruscia. ,gli fece provare come anche una soltanto riuscisse a lacerare .
2889,Tra male gatte era venuto ’l sorco;,Il sorcio era cascato tra malvagie gatte; 
2890,ma Barbariccia il chiuse con le braccia,ma Barbariccia lo chiuse tra le braccia e disse: 
2891,"e disse: ""State in là, mentr’io lo ’nforco"". ","«State in là, mentre io lo stringo »."
2892,E al maestro mio volse la faccia;,E rivolse la faccia verso il mio maestro; 
2893,"""Domanda"", disse, ""ancor, se più disii","disse: «Chiedigli ancora, se desideri sapere altro  da lui, "
2894,"saper da lui, prima ch’altri ’l disfaccia"". ",prima che qualcun altro  lo riduca a brandelli ». 
2895,"Lo duca dunque: ""Or dì: de li altri rii",La guida  allora: «Or dimmi: di quegli altri malvagi sotto la pece 
2896,conosci tu alcun che sia latino,conosci qualcuno che sia italiano ?» 
2897,"sotto la pece?"". E quelli: ""I’ mi partii, ","E quello: «Io mi sono allontanato, poc’anzi, "
2898,"poco è, da un che fu di là vicino.",da un dannato originario di un paese vicino. 
2899,"Così foss’io ancor con lui coperto,","Se fossi rimasto con lui così sommerso nella pece, "
2900,"ch’i’ non temerei unghia né uncino!"". ",non dovrei temere né artiglio né uncino !». 
2901,"E Libicocco ""Troppo avem sofferto"",",E Libicocco disse: «Fin troppo abbiam pazientato »;
2902,"disse; e preseli ’l braccio col runciglio,",e colpì il braccio di Ciampolo con l’uncino 
2903,"sì che, stracciando, ne portò un lacerto. ","così che, lacerandolo, ne portò via un brandello . "
2904,Draghignazzo anco i volle dar di piglio,Draghignazzo lo volle colpire ancora  
2905,giuso a le gambe; onde ’l decurio loro,giù alle gambe; per cui il loro decurione 
2906,si volse intorno intorno con mal piglio. ,guardò attorno con cipiglio minaccioso .
2907,"Quand’elli un poco rappaciati fuoro,","Quando quelli si furono un poco calmati ,"
2908,"a lui, ch’ancor mirava sua ferita,","la mia guida, senza indugio , domandò "
2909,domandò ’l duca mio sanza dimoro: ,a lui che ancora guardava la sua ferita: 
2910,"""Chi fu colui da cui mala partita",«Chi fu quell’anima dalla quale tu dici di esserti 
2911,"di’ che facesti per venire a proda?"".",allontanato con danno  per venire sulla riva? ». 
2912,"Ed ei rispuose: ""Fu frate Gomita, ","Ed egli rispose: «Egli fu frate Gomita, "
2913,"quel di Gallura, vasel d’ogne froda,","di Gallura, ricettacolo  di ogni frode,"
2914,"ch’ebbe i nemici di suo donno in mano,","che ebbe in suo potere i nemici prigionieri del suo signore , "
2915,"e fé sì lor, che ciascun se ne loda. ",e con essi si comportò in modo che ognuno si compiace. 
2916,"Danar si tolse e lasciolli di piano,","Prese da loro denaro e li mise in libertà con un processo sommario , "
2917,sì com’e’ dice; e ne li altri offici anche,come egli stesso dice; e anche negli altri suoi 
2918,"barattier fu non picciol, ma sovrano. ","incarichi fu non un piccolo barattiere, bensì maestro . "
2919,Usa con esso donno Michel Zanche,Sta  con lui don  Michele Zanche 
2920,di Logodoro; e a dir di Sardigna,di Logudoro; e le loro lingue non si 
2921,le lingue lor non si sentono stanche. ,stancano mai di parlare della Sardegna. 
2922,"Omè, vedete l’altro che digrigna;","Ohimè, vedete quell’altro demonio che digrigna i denti; "
2923,"i’ direi anche, ma i’ temo ch’ello","io parlerei ancora, ma ho paura "
2924,"non s’apparecchi a grattarmi la tigna"". ",che egli si stia preparando a scorticarmi la testa». 
2925,"E ’l gran proposto, vòlto a Farfarello","Ma il gran capo , rivolto a Farfarello "
2926,"che stralunava li occhi per fedire,","che stralunava gli occhi pronto a ferire , "
2927,"disse: ""Fatti ’n costà, malvagio uccello!"". ","disse: «Fatti in là, malvagio uccello!». "
2928,"""Se voi volete vedere o udire"",","«Se voi desiderate vedere o sentire Toscani o Lombardi»,"
2929,"ricominciò lo spaürato appresso,","ricominciò poi quel dannato impaurito , "
2930,"""Toschi o Lombardi, io ne farò venire; ",«io li farò venire a galla; 
2931,"ma stieno i Malebranche un poco in cesso,","ma se ne stiano un poco in disparte  i Malebranche, "
2932,sì ch’ei non teman de le lor vendette;,in modo che essi non temano le loro vendette; 
2933,"e io, seggendo in questo loco stesso, ","e io, seduto in questo stesso luogo, "
2934,"per un ch’io son, ne farò venir sette","per uno che sono, ne farò venire fuori molti  "
2935,"quand’io suffolerò, com’è nostro uso","quando fischierò, com’è nostra abitudine "
2936,"di fare allor che fori alcun si mette"". ",di fare allorquando uno di noi esce fuori».
2937,"Cagnazzo a cotal motto levò ’l muso,","Cagnazzo a queste parole alzò il muso, "
2938,"crollando ’l capo, e disse: ""Odi malizia","scrollando il capo, e disse: «Senti la malizia "
2939,"ch’elli ha pensata per gittarsi giuso!"". ",che ha escogitata per gettarsi in basso!». 
2940,"Ond’ei, ch’avea lacciuoli a gran divizia,","Per cui quel dannato, che conosceva una gran quantità di raggiri , "
2941,"rispuose: ""Malizioso son io troppo,","rispose: «Davvero la mia malizia è immensa, "
2942,"quand’io procuro a’ mia maggior trestizia"". ",dal momento che procuro ai miei pari una sofferenza maggiore». 
2943,"Alichin non si tenne e, di rintoppo","Alichino non riuscì a frenarsi e, in contrasto "
2944,"a li altri, disse a lui: ""Se tu ti cali,","con gli altri, gli disse: «Se tu ti tuffi ,"
